Tag,Content
PlayerBallGag,你把束带拉到头上|把口球推进去，系好扣子
PlayerClothGag,你把棉花塞进嘴里，然后在嘴上和头上系更多的布。
PlayerTapeGag,你拿出一卷胶带，把它牢牢地贴在嘴上
PlayerVibratingEgg,你迅速将震动的跳蛋放入阴道
PlayerChastityBelt1,你确定要自己系上贞操带吗？|再次单击以执行此操作。
PlayerChastityBelt2,你深呼吸，系上贞操带|随着一声“咔嗒”，贞操带锁死了
LockAllManacles,你跪在地上，把其余的镣铐拖到身后|然后将脚踝和手腕分别套进镣铐里，并锁了起来
JennaAppears,过了一会儿，Jenna走进房间，向你走来。
StareDown,（你严厉地盯着Jenna，让她先眨眼）|你想把那个堵嘴拿掉吗？
JennaRemovesGag,我想我可以帮你。（她把你的嘴拿掉了）|那么是谁把你锁在里面的？
LieToJenna,别骗我，Cassidy给我发了一条图片信息|你现在是我的奴隶，规矩点。
LooseTime,你输了，只坚持了COMMON_NUMBER|所以，你觉得你应该被解开么？
DecentTime,做得好，持久的COMMON_NUMBER是一个很好的尝试|那么，你觉得你应该被解开么？
ImpressiveTime,哇，你坚持了COMMON_NUMBER，这太令人印象深刻了|那么，你觉得你应该被解开么？
LoosePeakTime,你输了，只坚持了COMMON_NUMBER就高潮了|那么，你觉得你应该被解开么？
DecentPeakTime,做得好，在达到高潮之前，坚持了COMMON_NUMBER|是一个很好的开始，那么，你觉得你应该被解开么？
ImpressivePeakTime,哇，在达到高潮之前，你坚持了COMMON_NUMBER|这令人印象深刻。那么，你觉得你应该被解开么？
TeaseStage1,Jenna用手指和刷子挑逗你的身体
TeaseStage2,Jenna挑逗你的乳头
TeaseStage3,Jenna挑逗你的阴蒂
TeaseStage4,Jenna轻轻地挑逗你的阴蒂，|让你紧张不安
BreastsOut,（Jenna拉下胸罩的罩杯，|抬起你的乳房开始挑逗它们）
PantiesDown,（Jenna拉下你的内裤，开始轻轻地擦你的胯部）
ClitBrushChaste,（Jenna张开嘴唇，开始用刷子梳理你的阴蒂）
DisruptBreathing,（Jenna捂住你的嘴，捏着你的鼻子，|暂时打乱了你的自我控制技巧）
IntensifySenses,（你试图把它拒之门外，但似乎只会加剧想要高潮的感觉）
ShortenLeash,我警告过你。（Jenna用另一把挂锁缩短了|系在墙上的皮带链，把你举起来）
NoSit,（链子把你拴住了，你现在只能跪在地上）
SexyThoughts,你试图分散自己的注意力|但忍不住会有更多令人兴奋的色情想法
RememberOrgasms,（今天所有那些以前的高潮，|获得高潮是你现在最喜欢的事情）
BadLanguageGagged,我手头没有肥皂，但我警告过你了|（Jenna用嘴堵住你的嘴）
NoAvoid,（有了短链，你几乎无法移动，现在也无法避免被戏弄）
NoBanana,别再逗我了，狼来了的故事我知道|（Jenna继续戏弄你）
WhatWasThat,那是什么？我没听清楚。
CoverUp,对不起，我不是故意逼你的|（Jenna重新整理你的内衣）
CoverUpGag,对不起，我不是故意逼你的|（Jenna重新整理了你的内衣，去掉了肛塞）
Reward,我认为你应该得到一些解脱|（Jenna制作了一个大型振动器）
NoReward,我曾想着把你放了，但这样太便宜你了|（她把你打扮得漂漂亮亮，然后把你留在那里）
DoubleGrind,你太不耐烦了，学点礼貌|（她把你打扮得漂漂亮亮，然后把你留在那里）
DoneFor,你已经和甜心做爱了|（Jenna停下来，把你从手铐里放了出来）
Mistress,我们现在还需要做一件事|（Jenna举起项圈）
SeeCollar,站着别动，我想看看你戴的项圈
LockCollar,（Jenna收紧你的项圈，把它锁上）|好多了，我现在真的是你的情妇了，我的宠物。
Collar,
Crop,
Rope,
Cuffs,
BallGag,
TapeGag,
ClothGag,
VibratingEgg,
Blindfold,
