Tag,Content
EventUnderwear,3010
EventSchoolUniform,3020
EventRedBikini,3030
EventBlackDress,3050
EventTennis,3060
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventPushUp,3200
EventSitUp,3210
EventCrop,3230
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentHumiliated,3930
PunishmentSleepBoundAndGagged,3940
GaggedAnswer1,哦，恩！
GaggedAnswer2,（她试图表达，但失败了）
GaggedAnswer3,请放心！
GaggedAnswer4,（她叹了口气，沉默不语）
GaggedAnswer5,吴！
GaggedAnswer6,（她努力控制住了笑点）
GaggedAnswer7,啊哼啊哼啊。
GaggedAnswer8,（她低下头）
AlreadyOwned,女孩，你已经有一个导师了|我不能为你做任何事。
UnrestrainFirst,拜托，你能让我先走吗？
UnchasteFirst,我仍然被困在那条贞操带里。
PlayerUncollarFirst,在我们交谈之前，你需要脱下项圈。
PlayerUnrestrainFirst,（她好奇地看了你一眼）|先摆脱这些束缚。
GetOnYourKnees,很好，你将成为我的奴隶|请下跪，正式宣布。
ReleasePlayer,我来帮你|（她放了你）
ReleasePlayerGagged,啊，好吧|（她放了你）
CannotReleasePlayer,（她挣扎着想出去，但失败了，叹了口气）
ActivityEndGood,我的奴隶太棒了！但这已经足够了|记住，你的导师在控制。
ActivityEndFair,好吧，我的顺从者！但这已经足够了|记住，你的导师在控制。
ActivityEndBad,拦住我的顺从者！我受够了|记住，你的导师在控制。
MasturbatePlayerOrgasm,保持专注，享受训练|（她熟练地自慰，让你达到高潮）
MasturbatePlayerOrgasmForced,你无法控制，专注于你的训练|（她熟练地自慰，让你达到高潮）
ChangingIsBlocked,不，我的奴隶，只有我能决定你什么时候可以改变。
ReleaseBeforePunishNotNaked,（她放开你，盯着你看）|好吧，我的顺从者，是时候裸体了。
ReleaseBeforePunishAlreadyNaked,（她放开你，盯着你看）|你的特殊训练马上就要开始了。
PunishSinceNaked,既然你已经赤身裸体了，那么你的特殊训练就可以开始了。
StillGrounded,（Jennifer不理你，做了一些练习。|你需要等一下，你还是被禁足了）
StillGroundedByOther,你的导师在控制。我不会帮忙的|（你需要等待，你仍然被禁足）
CantFindRestrain,（她检查了你的物品，但似乎没有找到她想要的东西）太糟糕了。
Crop,（你用你的鞭子抽打她的屁股）|天哪！拜托！它刺痛得很厉害。
CropFromMistress,（你用你的鞭子抽打她的屁股）|主人！拜托！它刺痛得很厉害。
CropWhileGagged,（你用你的鞭子抽打她的屁股|她痛苦地呜咽着）
RefuseBondage,（Jennifer看到你的物品，把它往后推）|哦，不！请把它从我身边拿开。
TurnTables,（Jennifer压倒了你，用你的束缚来约束你）现在谁聪明？
TurnTablesFromMistress,所以，你需要更多的训练我的顺从者|（Jennifer对你施加了自己的约束）
AcceptChange,很好。但我手头没有那么多衣服。
AcceptChangeFromLover,当然，亲爱的|你想要什么？
AcceptChangeFromMistress,当然，主人|你想要什么？
NoNeedToChange,（她耸耸肩看着你）|什么？我已经是这样了。
Rope,（她不情愿地转过身，让你把绳子缠在她身上）
TwoRopes,（你拿起第二根绳子绑住她的腿，迫使她跪下）
ThreeRopes,（用第三根绳子，把她像椒盐卷饼一样折叠起来，把她限制在那个位置）
Armbinder,（她不情愿地把胳膊伸进单手套里，而你则把它系紧）
Cuffs,（她叹了口气，把手给了你。|你可以把它们铐在背后）
BallGag,（她摇了摇头，不，但你可以把球塞进她嘴里，把塞子绑起来）
TapeGag,（她摇了摇头，没有，但你可以抓住她的嘴，用胶带封住）
ClothGag,（她摇了摇头，没有，但你可以把那叠东西塞进去，用布把它封起来）
CuffsKey,（她迅速点头，转过身来帮你解开手铐）
VibratingEgg,（她看到跳蛋皱了皱眉，但当你把它推到她体内时，她并没有太大反抗）
ChastityBelt,（当她看到贞操带时，眼睛睁大了。|当你紧紧地锁在她身上时，她僵住了）
Collar,（你需要+20顺从度和一份完整的获奖感言来吸引她）
CollarToEnslave,（你需要一个项圈来奴役某人）
CannotActWhileRestrained,（她挣脱束缚，耸耸肩）
CannotBeDoneWhileRestrained,（当你被约束时，你不能这样做）
NakedForBelt,（Jennifer必须裸体才能把贞操带锁在身上）
OrgasmFromJenniferPleasure,（Jennifer信任振动器的完美速度。|让你从美妙的高潮中达到高潮）
PleasureFromJenniferNoProgress,（Jennifer信任振动器的进出，但|没有合适的节奏来让人愉快）
KissJenniferOwner,（你弯下膝盖，亲吻你主人的手）
KissJenniferGagged,（你吻她的嘴，她脸红了，看向别处）
KissJenniferSeduction,（当你缓慢而热烈地吻她时，你可以感觉到她的心跳很快）
StartMasturbateJennifer,（你靠近Jennifer，开始温柔地抚摸她）
ReadyForOrgasm,（她疯狂地颤抖着，呼吸急促。|她即将失去控制，达到高潮）
MasturbateNotInTheMood,（你开始抚摸她，但很明显她没有心情）
SpankWithStrength,（当她因疼痛而哭泣时，你用力打她的屁股）
ReleaseBeforeTalk,你能先放了我吗？
UnlockBeltBeforeSex,你能先解开贞操带吗？
CantDateWhileRestrained,也许我们应该先取消这些限制，你不觉得吗？
CantDateWhileNaked,你是在邀请我约会还是在床上|也许你应该先穿回衣服。
StripForSecondRope,（如果她衣服少一点，你可以用第二根绳子）
NoTickling,（你试图挠她痒痒，但她很快把你推开）
AlreadyLoved,不，我以前从未和任何人约会过|我希望我有像你这样的人。
AlreadyBrokeUp,我们不要谈论这个|太疼了。
ChangeForDommeSpeech,（她换回了校服）|你以前有导师吗？
WinFightAgainstJennifer,（你很快就紧紧抓住她，把她钉在地板上）
AcceptCollar,是的，小姐！我很荣幸能戴上你的项圈，成为你的顺从者。
TennisToTrain,是的，主人！（她高兴得跳了起来，很快换上了网球服）
StillGroundedGagged,（她尽量不看你）
