Tag,Content
GaggedAnswer1,哈哈哈！
GaggedAnswer2,（她哼了一首哽咽的歌，咯咯地笑了起来）
GaggedAnswer3,Nneeeeph！
GaggedAnswer4,（她做着傻乎乎的鬼脸）
GaggedAnswer5,（她低下头，保持沉默）
GaggedAnswer6,嗯，嗯，嗯。
GaggedAnswer7,哼！
GaggedAnswer8,好的，好的|（她试图说话，但失败了）
UnrestrainFirst,你能先放了我吗？
UnchasteFirst,你能先解开贞操带吗？
ReleasePlayer,我想我能帮上忙|（她放了你）
ReleasePlayerGagged,好吧|（她放了你）
CannotReleasePlayer,（她开玩笑地拽着约束装置，从左向右摇头）
CantFindRestrain,（她检查了你的物品，但似乎没有找到她想要的东西）我们需要去购物。
Crop,（你用你的鞭子抽打她的屁股）！它很疼，我喜欢，小姐。
CropFromMistress,（你用你的鞭子抽打她的屁股）！它刺痛得很厉害，主人，我喜欢它。
CropWhileGagged,（你用你的鞭子抽打她的屁股|她高兴地呜咽和呻吟）
RefuseBondage,（她推开你的物品，咯咯地笑了起来）|你以为你在干什么，小女孩？
RefuseBelt,（她看到贞操带，拼命地想阻止你把它锁在她身上）
TurnTables,（Sarah迅速转过桌子，用你的束缚来对付你）哈！这是出乎意料的。
AcceptChange,当然！我该穿什么？
AcceptChangeFromLover,是的，性感。你想看什么？
AcceptChangeFromMistress,当然，主人|我该穿什么？
NoNeedToChange,（她旋转着笑了）|太快了！
Rope,（当你把绳子绕在她身上打紧结时，她咯咯地笑了起来）
TwoRopes,（你拿起第二根绳子绑住她的腿，迫使她跪下）
ThreeRopes,（用第三根绳子把她的手腕绑在脚踝上，强迫她抬起屁股）
Armbinder,（她高兴地点了点头，很快地把胳膊伸进单手套里，你把它系紧）
Cuffs,（她高兴地转过身，把胳膊放回原处，这样你就可以把它们牢牢地铐起来了）
BallGag,（她开得很宽，所以你可以很容易地把球推进去，然后系上塞子）
TapeGag,（她紧紧地闭上了嘴，所以你可以很容易地用胶带把它封住）
ClothGag,（她开得很宽，这样你就可以很容易地把药塞进去，把药捆好）
CuffsKey,（她开玩笑地反抗，但你可以抓住她的袖口并解锁她）
VibratingEgg,（她看到跳蛋，点头表示同意。|她摆好姿势，帮你把它推进去）
ChastityBelt,（她摇摇头不，试图反抗|但你可以在她撅嘴的时候锁上贞操带）
Collar,（你需要+20顺从度和一份完整的获奖感言来吸引她）
CollarToEnslave,（你需要一个项圈来奴役某人）
AcceptCollar,是的，小姐。我想成为你的奴隶|我会自豪地戴上你的项圈。
CannotActWhileRestrained,（她咯咯地笑着，在束缚中嬉戏地挣扎着）
CannotBeDoneWhileRestrained,（当你被约束时，你不能这样做）
NakedForBelt,（Sarah必须裸体才能把贞操带锁在身上）
SarahPleasureMastubate,（Sarah一边自慰，一边用舌头舔舐着|你两都在颤抖着）
OrgasmFromSarahPleasure,（Sarah高兴地把舌头伸进你体内|让你在高潮时颤抖和呻吟）
OrgasmFromSarahPleasureMastubate,（Sarah一边用手指抚摸自己，一边快速搅动着自己的舌头|你们俩会同时达到高潮）
PleasureFromSarahNoProgress,（Sarah很努力的舔舐着|但找不到合适的节奏来取悦你）
KissSarahGagged,（你亲吻她的嘴，她咯咯地笑）
KissSarahSeduction,（你慢慢地、热情地吻她，而她闭上眼睛，高兴地呻吟着）
StartMasturbateSarah,（你靠近Sarah，抓住她的胯部，开始自慰）
ReadyForOrgasm,（她不受控制地颤抖着，尖叫着。|她似乎快要达到高潮了）
MasturbateNotInTheMood,（你开始抚摸她，但很明显她没有心情）
SpankWithStrength,（你用尽全力，狠狠地打了她屁股，而她却高兴地呻吟着）
ReleaseBeforeTalk,你能先帮我吗？
UnlockBeltBeforeSex,你能先解开这条邪恶的贞操带吗？
StripForSecondRope,（如果她衣服少一点，你可以用第二根绳子）
AlreadyLoved,我没有。我是个自由的女孩|总有一天我会找到像你一样的爱。
AlreadyLovedByAmanda,（她点了点头）我知道你在和Amanda约会|也许有一天我会找到像她这样的人。
AlreadyDatingAmanda,你应该知道。我在和Amanda约会|也被称为“绳索中最可爱的女朋友”。
AlreadyBrokeUp,我们已经试过了，但没用。|让我们谈谈别的。
NoRestrainInCostume,（她需要脱下服装才能使用这个物品）
AlreadyOwned,你这个小女孩真是太好了|但要保持对主人的赞美。
ReleaseBeforeBondageClub,对！是时候去市中心了|你能放了我吗？
ReleasePlayerForBondageClub,对！（她很快放了你）|你准备好走了吗？
ReadyForBondageClub,对！你准备好走了吗？
AmandaPreventDatingSarah,（Amanda加入了对话）|我必须在你们俩之间做出选择吗？
RefuseSexForLover,这真的很有趣，但我不能。|这是我和Amanda约会的第一天。
DoubleTickling,（你们互相搔痒，但她似乎不太喜欢）
StillGroundedByOther,你一直很淘气，我不会帮你的|（你需要等待，你仍然被禁足）
StillGroundedGagged,嗯，妈妈，妈妈|（她看着你，咯咯地笑了起来）
