Tag,Content
UngagPlayer,（她咯咯地笑了笑，移开了你的嘴）|你能帮我找到我的服装吗？
CropToSearch,（你鞭打她，她很快开始搜索）|我明白了！你不介意我在这里脱衣吧？
CropToStrip,（你鞭打她，她立刻脱下衣服）|那么我应该先穿哪件戏服呢？
CostumeBeforeFun,哦，太好了！你有一些玩具。但我首先需要我的服装。你能帮忙吗？
CostumeBlocksFun,我很想试试你的玩具，|但现在太晚了，我已经穿好衣服了。
PlayerRandomBondage,当然！|（Sarah在你包里随便挑了一些东西，把你捆了起来）
NoBondageItem,（她检查了你的包）对不起，COMMON_PLAYERNAME。|你身上没有任何我可以利用的东西。
Collar,（你需要+20或更高的顺从度以及|一个特殊的仪式来给她戴上代表服从的项圈.）
Crop,（她呻吟时，你狠狠地打了她一顿。|她似乎真的很享受）
Rope,（你把绳子绕在她身上，|她则开玩笑地测试你的绳索技巧）
TwoRopes,（你拿起第二根绳子，|把她的腿绑成跪姿）
Armbinder,（她高兴地把胳膊伸进皮革单手套里|让你把它牢牢地绑起来）
Cuffs,（她高兴地点点头，而你把她的手拖到她身后，铐上）
BallGag,（她把头靠得更近，这样你就更容易堵住她的嘴）
TapeGag,（她把头靠得更近，这样你就更容易堵住她的嘴）
ClothGag,（她把头靠得更近，这样你就更容易堵住她的嘴）
CuffsKey,（她开玩笑地移动，让你更难解锁她，但你设法做到了）
VibratingEgg,（她看到跳蛋时点了点头，|然后打开腿，这样你就轻松的塞了进去）
ChastityBelt,（她看到贞操带时很恐慌，|但你还是把它紧紧地锁在她身上）
MasturbateBelt,（你试图自慰她，但失败了|穿着贞操带你没法将手指伸进去）
Masturbate,（你以很好的速度给她手淫|她默默地呻吟着，咯咯地笑着）
MasturbateGood,（当她高兴地呻吟和颤抖时|你以很好的速度抚摸着她）
MasturbateOrgasm,（她失去了对身体的控制|在更衣室里达到了高潮）
DressWithBelt,（你帮她穿衣服，但她似乎有压力）|好吧，我们来玩，然后解开贞操带。
RefuseBelt,（你试图把贞操带锁在她身上，|但她立刻拒绝了，把它推开了）
UndressBeforeBondage,（她咯咯地笑着点了点头）除非你先脱衣服。
UntiePlayer,好吧。让我来帮你解开这些绳子|（她把你从束缚中解放出来）
UnstrapPlayer,是的，让我帮你拿这个单手套。（她解开袖扣，松开你）
CannotFree,（她指着自己的束缚，咯咯地笑了起来）
CannotFreeGagged,（她从左向右摇了摇头）
HelpWhileGagged,（她一边解开结，一边哼着歌）
