Tag,Content
FirstRope,"(Příliš zhulená, nebo tebou příliš okouzlená|si od tebe nechá na těle uvázat provazový postroj.)"
SecondRope,(Sundáš jí boty a pevně ji omotáváš|druhý provaz okolo nohou.)
Cuffs,(Tupě zírá na želízka a ty jí je snadno|dokážeš nasadit a zamknout za jejími zády.)
BallGag,"(Při pohledu na roubík se mračí, ale příliš|se nebrání, ani když jí ho zapínáš okolo hlavy.)"
TapeGag,"(Nečinně se na tebe dívá, zatímco|jí lepíš kus pásky přes ústa.)"
Uncuff,(Odemykáš jí pouta a ona své ruce|velice pomalu vrací před tělo.)
Crop,"(Když jí udeříš bičíkem, malinko zasténá,|ale nevypadá, že by jí to příliš vadilo.)"
VibratingEgg,"(Toho, že do ní strkáš vajíčko si téměř nevšimla,|ale pak začíná náhodně sténat.)"
Collar,"(Pro to, abys Sidney dala svůj obojek, potřebuješ|její submisi alespoň +20 a speciální obřad.)"
Extortion,"(Sidney se vrací a vysmívá se ti.)|Tak co příště uděláš, když tě požádám o peníze?"
InviteWeed,"Jo! Masem nikdy nic nepokazíš.|Jdu si zakouřit trávu, jdeš taky?"
StripLove,"(Usmíváte se na sebe, zatímco jí pomalu|rozepínáš blůzku a sundáváš jí sukni.)"
StripSub,(Tiskneš ji ke zdi a přitom jí|rozepínáš blůzku a sundáváš jí sukni.)
MasturbateLove,"(Shýbáš se a jemně ji dráždíš,|přičemž ona zavírá oči a sténá.)"
MasturbateSub,"(Tiskneš ji ke zdi a pěkně rychle ji masturbuješ,|ona při tom sténá rozkoší.)"
ReadyForOrgasm,"(Začíná zrychleně dýchat a sténat.|Vypadá to, že je velmi blízko vyvrcholení.)"
LeaveBoundAndGagged,"(Opravdu ji chceš opustit svázanou a s roubíkem?|Pokud ano, klikni znovu.)"
