Tag,Content
Outro1,这一天结束了。该睡觉了。
Outro1Bondage,这一天结束了。今晚你会睡得很安稳。
Outro1Lover,这一天结束了。你会睡在爱人的怀里。
Outro1Isolation,这一天结束了。今晚你将独自入睡。
Outro2,你在束缚学院的冒险结束了。
Outro3,游戏现在结束了，希望你玩得开心。
Outro4,未来可能会有继续的选择。
Outro5,结局
CreditTypeDevelopers,开发者
CreditTypeTranslators,翻译者
CreditTypeSupport,支持
CreditTypePatrons,赞助商
CreditTypeFans,衷心感谢粉丝们！
SleepBoundAndGagged0,该睡觉了。你的主人想让你裸睡。
SleepBoundAndGagged1,你躺在床上，而她则拿着一个皮革单手套。
SleepBoundAndGagged2,她小心地系好带子，确保你不会逃跑。
SleepBoundAndGagged3,在那之后，她得到了一个里面有塑料阴茎的面板塞。
SleepBoundAndGagged4,她紧紧地绑住瓶塞，强迫你吮吸瓶塞。
SleepBoundAndGagged5,她开玩笑地打了你屁股，又检查了她的包。
SleepBoundAndGagged6,她戴上厚厚的眼罩，所以你几乎看不见。
SleepBoundAndGagged7,她轻声说：“晚安”，然后滑动它让你失明。
