Tag,Content
EatAlone1,"Neschopná nebo příliš plachá najít si kamarádku, obědváš sama."
EatAlone2,Našlas restauraci nedaleko školy a samotná tam usedáš.
EatAlone3,"Poté co se najíš, zamíříš na svou další hodinu."
Evil1,"Zatím co ona se zmítá, s úsměškem se otáčíš."
Early1,Unavená či otrávená odcházíš z obědové pauzy.
EvilEarly2,Vracíš se zpátky ke skříňkám a zvonek zvoní.
EvilEarly3,Honem! Ať nepřijdeš pozdě na další hodinu.
RegularBonus1,Zvonek zvoní a vy se společně vracíte do školy.
Regular2,Navzájem si zamáváte a jdete ke svým skříňkám.
Bonus2,"Ještě než se rozejdete, dává ti sladký polibek."
RegularBonus3,Honem! Ať nepřijdeš pozdě na další hodinu.
NoFood1,"Pustí tě a zvonek zvoní, zatímco se vracíš zpátky."
NoFood2,"Tvůj žaludek protestuje, ale už není dost času."
NoFood3,Honem! Ať nepřijdeš pozdě na další hodinu.
Kinbaku1,Před zazvoněním jsou všichni vysvobozeni.
Kinbaku2,Natálie ti nabízí přihlášku do klubu.
Kinbaku3,Vracíš se zpátky a míříš na svou další hodinu.
