Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,这是拿我们戏服的地方吗？,是的，我相信你会像我一样找到合适的服装。|现在请在我换衣服时遮住你的眼睛。,10,0,0,
0,0,0,SarahMissing,第三位演员在哪里？,Sarah排在第三个位置，但她一如既往地迟到了|我们希望她能在开始之前加入我们。,0,0,0,
0,0,0,IsHeroine,女主角这个角色对你来说|是再完美不过的选择了。,你真是太贴心了，COMMON_PLAYERNAME|现在请在我换衣服时遮住你的眼睛。,10,1,0,
0,0,0,!IsHeroine,有点奇怪，我好像没看到|你扮演反派角色。,我同意！我觉得Julia想要向我发起挑战。|现在请在我换衣服时遮住你的眼睛。,10,1,0,
0,0,0,IsHeroine,你？女主角？|这听起来不太可能吧。,嘿！我是个好人，我能行的！|现在请在我换衣服时遮住你的眼睛。,10,-1,1,
0,0,0,!IsHeroine,我应该扮演那个坏蛋|把你绑架走,（她点点头）我想那也可能会很有趣吧。|现在请在我换衣服时遮住你的眼睛。,10,-1,1,
0,0,0,,戏剧课真无聊。,别这么说！这是非常文化的东西。|现在请在我换衣服时遮住你的眼睛。,10,-1,0,
10,5,0,,我的朋友|我可以帮你一起。,我想你说得对。那我开始脱我的衣物了|（她开始脱衣服）,40,0,0,Strip()
10,0,5,,不要害羞|直接脱裙子就好了。,是的，我不应该害羞。 （她继续脱衣服）|你能帮我穿上盔甲吗？,40,0,0,Strip()
10,0,0,,我不能看你换衣服么？,不，COMMON_PLAYERNAME，你不能这么做。|现在请闭上眼睛几分钟。,10,0,0,
10,0,0,!Common_PlayerRestrained,（遮住你的眼睛）,（你用双手遮住双眼，而她开始换衣服了）,20,0,0,StripNoLeave()
20,0,0,,（继续遮住眼睛）ADD_MINUTES:1,（你能听到金属盔甲发出咔哒声）|请再给我一分钟好吗？,20,0,0,Changing()
20,0,0,,（稍微偷看一下）ADD_MINUTES:1,（你继续遮住眼睛，但透过指间偷偷地看|Amanda正在努力穿上她的盔甲）,20,0,0,Changing()
20,0,0,,（将捂着眼睛的手放下）,嘿！为什么你不继续把眼睛遮住呢？,30,-1,0,
30,0,0,,这过程实在是太漫长了。,穿着这套盔甲可不是件容易的事。|与其抱怨，不如帮我穿一下？,40,-1,0,CheatedCover()
30,0,0,,没有帮助你不可能|完成这件事的。,是的，可能我确实需要一些帮助。|你能帮我穿上这套盔甲吗？,40,0,1,CheatedCover()
30,0,0,,我觉得你需要一些帮助呢,你真是太贴心了|你能帮我穿上这套盔甲吗？,40,1,-1,CheatedCover()
30,0,0,,你真美丽|我只是想来看看你。,明白了。但既然你作弊了，|你能帮我穿上这套盔甲吗？,40,1,0,CheatedCover()
30,0,0,,我很抱歉|我作弊了,至少你还算坦诚。既然你作弊了，|你能帮我穿上这套盔甲吗？,40,0,-1,CheatedCover()
30,0,0,,（鞠躬并低头看着地板）,别那么害羞嘛。既然你作弊了，|你能帮我穿上这套盔甲吗？,40,0,-1,CheatedCover()
40,0,0,PlayerInArmbinder,（转身并晃动你的手臂束缚器）,你真是太可爱了，我不能解开你。|试着再挣扎一会儿，或许能成功脱出。,40,0,0,TestUnstrapPlayer()
40,0,0,PlayerIsRoped,（转身并指向你身上的绳索）,你这样可爱的样子，我实在舍不得解开你。|试着再多挣扎一些，也许能找到那个绳结。,40,0,0,TestUntiePlayer()
40,0,0,PlayerIsCuffed,（转身并指向你的手铐）,没关系，我手上没有这些手铐的钥匙。,40,0,0,TestUncuffPlayer()
40,0,0,IsBothFree,你知道吗|你其实挺漂亮的。,（她轻笑并脸红了）|你也挺漂亮的，COMMON_PLAYERNAME。,40,0,0,PrettyComment()
40,0,0,IsBothFree,你被绑起来的|样子会非常迷人。,（她脸更红了） 也许现在并不是谈论这个的最佳时机。,40,0,0,
40,0,0,ReadyHug,在表演开始之前|先来几个拥抱怎么样？,我很好奇，COMMON_PLAYERNAME。你有什么想法或打算？,300,0,0,StartHugs()
40,0,0,IsBothFree,（帮她穿上衣服）ADD_MINUTES:1,（你帮她穿好盔甲）|谢谢！我们准备好开始游戏了吗？,50,0,0,Costume()
40,0,0,IsBothFree,Amanda，你愿意|把我绑起来吗？,哦，我的天哪，小姐，那可不太合适。|（她低头并移开视线）,40,0,0,RandomBondage()
40,0,0,!Common_PlayerRestrained,（逗弄她）ADD_MINUTES:1,（你在她的肋骨上轻轻挠痒，她大笑起来|显然她非常喜欢这个互动）,40,0,0,Tickle()
40,0,0,!Common_PlayerRestrained,（打她的臀部）ADD_MINUTES:1,（你迅速地拍了她一下，她后退一步|看起来并不喜欢这样）,40,0,0,Spank()
40,0,5,!Common_PlayerRestrained,（拍打她的脸颊）ADD_MINUTES:1,（你狠狠地扇她耳光，|她非常恐惧的缩了缩身体）,40,0,0,Slap()
40,0,0,!Common_PlayerRestrained,（抚摸她的私处）ADD_MINUTES:1,（你弯下腰给她手淫|但她把你的手推开了）,40,0,0,Masturbate()
40,0,0,CanUntie,（解开她身上的束缚）ADD_MINUTES:1,（你解开绳结释放了她，她伸展双臂表示感激）,40,0,0,Untie()
40,0,0,CanUnstrap,（卸下她的手铐）ADD_MINUTES:1,（你解开了贞操带扣，松开紧身衣的绑带|解放了她的双臂）,40,0,0,Untie()
40,0,0,CanUngag,（解开她口中的束缚）ADD_MINUTES:1,（你取下口塞，她深深地吸了一口气）|呼！谢谢你。,40,0,0,Ungag()
