Tag,Content
LayNaked,你舒服地躺在床上自慰。
StripNaked,你脱光衣服躺在床上自慰。
Chaste,你很难把手指伸进贞操带里，但却无法取悦自己。
NotInTheMood,你试着自慰，但你已经没有心情了。给它一些时间。
GettingClose,你呻吟着颤抖，感觉自己正处于高潮的边缘。
CannotMasturbateWithGuest,当你有一个与你没有任何关系的客人时，你不能自慰。
LayMistressApprove,你赤身裸体地躺在床上，你的主人看着你，竖起大拇指。
LayMistressDisapprove,你赤身裸体地躺在床上，你的主人看着你，皱着眉头。
SexSidneyPartnerOrgasm,是 啊！耶！耶，耶！fuuuuuuuck|（Sidney因高潮而疯狂地颤抖）
SexSidneyPlayerOrgasm,（Sidney加快了她的手指动作。让你从高潮中颤抖和呻吟）
SexSidneySimultaneousOrgasm,（你们深情地互相手淫，并同时获得美妙的性高潮）
SexStopSidneyPartnerNoOrgasm,性交！你来得太快了|下次我们应该走慢点。
SexStopSidneyPlayerNoOrgasm,（她没有注意到你还没有高潮）太棒了！
SexStopSidneyRefuse,（她把你拉了回来）哦，不，婊子|在我性交之前，你不能起床。
SexAmandaPartnerOrgasm,（Amanda咬着嘴唇，不是为了尖叫，而是颤抖着，从高潮中喘着粗气）
SexAmandaPlayerOrgasm,（她用舌头深深地插入水中。|让你从甜蜜的高潮中颤抖和呻吟）
SexAmandaSimultaneousOrgasm,（你们用爱和激情互相舔舐，同时获得美妙的性高潮）
SexStopAmandaPartnerNoOrgasm,我…我没有…我希望你玩得开心|（她脸红了）有点快。
SexStopAmandaPlayerNoOrgasm,你高潮了吗|我希望这对双方来说都很有趣。
SexStopAmandaRefuse,（她把你拉回来）对不起，我的顺从|在我到达天堂之前，你不能起床。
SexSarahPartnerOrgasm,（Sarah尖叫着喷到你身上。|获得漫长而强烈的性高潮）
SexSarahPlayerOrgasm,（她移动臀部，熟练地蹭着你|让你从甜蜜的高潮中颤抖和呻吟）
SexSarahSimultaneousOrgasm,（你们深情地抓着床单|互相蹭着。同时达到高潮）
SexStopSarahPartnerNoOrgasm,不太快了|（她自己吃完就站了起来）
SexStopSarahPlayerNoOrgasm,太棒了！你性交了吗|我没有注意到你的高潮。
SexJenniferPartnerOrgasm,（当Jennifer达到强烈的性高潮时|你可以感觉到假阳具在颤抖）
SexJenniferPlayerOrgasm,（她用力向后推，到达了那个甜蜜的地方|给你带来了巨大的高潮）
SexJenniferSimultaneousOrgasm,（你们都摇屁股，以完美的节奏。同时达到美妙的高潮）
SexStopJenniferPartnerNoOrgasm,哦，天哪，我们已经完成了吗|（她叹了口气，慢慢站了起来）
SexStopJenniferPlayerNoOrgasm,它很可爱，我希望你喜欢|（她好奇地看着你）
SexStopJenniferRefuse,（她抓住你的手，让你躺在床上）|完成你开始做的事，我的奴隶。
