Tag,Content
PlayerDamselVillainWin,（两位骑士都表演了一场有趣的剑术|Amanda将敌人的剑击倒在地，获胜）
PlayerDamselHeroineWin,（两位骑士都表演了一场有趣的剑术|Sarah解除了Amanda的武装，获胜）
RefuseBondageFromDamsel,（她看到了这个项目，但很快就把它拒之门外|作为少女，你需要+10的顺从度才能使用它）
RefuseBondageFromKnight,（她看到了物品，但很快就把它移开了|作为骑士，你需要+5的顺从度才能使用它）
Crop,（你狠狠地打了她一顿，她似乎一点也不欣赏）
Rope,（当她高兴地呻吟时，你剥去她的衣服，把绳子绕在她的身上）
TwoRopes,（你抓住她的腿，用第二根绳子绑住，迫使她跪下）
Armbinder,（你把她的胳膊伸进皮革单手套里，系上带子并拉紧）
Cuffs,（你抓住她的手放在在后背|这样你就可以锁上手铐了）
BallGag,（你用束带绑住她的头|把那个红色的大球推进去）
TapeGag,（你抓住她的下巴，用胶带封住她的嘴）
ClothGag,（你用力把药塞进她的嘴里，把布塞绑在她的头上）
CuffsKey,（你打开手铐，她检查手腕，确保没有留下痕迹）
VibratingEgg,（她盯着你看，她看到了跳蛋，但你可以把它滑进去）
ChastityBelt,（当她看到贞操带时，她皱着眉头，但当你把它锁在她身上时，她辞职了）
Collar,（你需要+20的顺从度和一个特殊的仪式）
Orgasm,（她在舞台上获得了无声的高潮，并迅速环顾四周，看看是否有人注意到）
Ravish,今晚？我现在想把你迷住。|（她用你自己的东西对付你）
MasturbateChaste,（你几乎不用把手指滑到贞操带下面|但贞操带太紧了，无法取悦她）
