Tag,Content
Rope,(Omotáváš provaz kolem jejího těla|a ona s každým dalším uzlem sténá hlasitěji.)
Cuffs,(Přitiskneš jí ruce za zády a sevřeš jí je pouty.|Ona se s každým cvaknutím zámku zachvěje.)
BallGag,"(Třese odmítavě hlavou, ale ty jí|zatlačíš roubík do úst a pevně ho zapneš.)"
TapeGag,"(Odmítavě třese hlavou,|ale ty jí pevně zalepuješ pusu páskou.)"
Uncuff,(Použila jsi klíček a osvobodila ji.|Sténá a rychle se chytá plotu.)
Crop,"(Docela silně jsi ji uhodila bičíkem.|Pláče a nevypadá, že by se jí to líbilo.)"
VibratingEgg,"(Tiskne nohy k sobě, ale tobě se|daří zatlačit ho tak, aby do ni vklouzlo.)"
Collar,"(Na to, abys Amandě dala obojek potřebuješ|submisi alespoň +20 a zvláštní obřad.)"
LoveNoItem,"(Odstrkuje tvou ruku s předmětem.)|Na to teď není ta správná nálada, zlatíčko."
SubbieNoItem,"(Odstrkuje tvou ruku s předmětem.)|Už mám všechno, co potřebuju, subinko."
Orgasm,(Už se nedokáže ovládat a prožívá|tichý orgasmus přímo na školním dvoře.)
Masturbate,"(Hlasitě sténá, zatímco ji dráždíš. Pod tvými|láskyplnými dotyky se neovladatelně chvěje.)"
LoveStart,(Spontánně si navzájem zvednete sukně|a začnete jedna druhou dráždit.)
LoveMasturbate,"(Její doteky tě přivádějí k nádhernému orgasmu.|Když vidí tvou rozkoš, přestane a odtáhne se.)"
SubbieMasturbate,"(Její doteky tě přivádějí k nádhernému orgasmu.|Když vidí tvou rozkoš, přestane a odtáhne se.)"
LeaveBoundAndGagged,"(Opravdu ji chceš opustit spoutanou|a s roubíkem? Pokud ano, klikni znovu.)"
