Tag,Content
SarahChooseWhiteKnight,Sarah：“我要向白骑士表白“|Amanda咧嘴一笑看着你。
SarahChooseWhiteKnightRestrained,Sarah：“我要向白骑士表白“|Amanda迅速克制住她，看着你。
SarahChooseBlackKnight,Sarah：“我向你的黑人冠军表白。”黑骑士微笑着带头。
AmandaRestrainPlayer,Amanda扑向你并约束你。然后，她带着威胁的神情转向英雄。
AmandaReleaseForKiss,Amanda赶紧放了Sarah，她穿回衣服。他们以一个可爱的吻结束了。
VillainRope,（你给她一个惊喜，剥去她的长袍。在她反应之前，你把她捆得紧紧的）
Crop,（你狠狠地鞭打她，她高兴得发抖。她似乎真的很享受）
Rope,（你把绳子绕在她身上，她高兴得发抖）
TwoRopes,（你强迫她跪下，并在她的腿上系上第二根绳子）
Armbinder,（你把她的胳膊伸进皮革单手套里，系上带子，系紧）
Cuffs,（她脱下衣服，自然地把手放在背后，这样你就可以把它们锁起来了）
BallGag,（她看到塞子，迅速打开，这样你就可以推它并扣上）
TapeGag,（她闭上嘴，这样你就可以更容易地用胶带把它封住）
ClothGag,（你慢慢地把药塞到她嘴里，把药包在她的头上）
CuffsKey,（她试图让你更难解锁她，但你能做到）
VibratingEgg,（当你把震动的跳蛋滑进去时，她高兴地点了点头）
ChastityBelt,（当她看到贞操带时，她惊慌失措，但当你把它锁在她身上时，她辞职了）
Collar,（你需要+20的提交和一个特殊的仪式）
Orgasm,（她呻吟得很快，在舞台上就获得了响亮而令人心碎的高潮）
MasturbateChaste,（你几乎不用把手指滑到贞操带下面|但贞操带太紧了，无法取悦她）
