Tag,Content
Chloe1,（Chloe现在完全被绑在地上。他们都无视你的困境）
Chloe2,（他们给Chloe绑了一些振动器。|她颤抖着，摆动着，高兴地呻吟着）
NatalieReturns,（Natalie走回去，站在你身边）
Remote1,（Natalie开始颤抖。|你的遥控器必须控制她的振动器）
Remote2,（Natalie颤抖得更厉害了，|你的嘴能清晰的感受到轻声地呻吟）
Remote3,（Natalie颤抖着，伴随着呻吟按下遥控器。|你的振动器达到峰值，强烈的刺激让你丢下了遥控器）
Orgasm,（你在一次美妙的高潮中爆发。|当你瘫倒在这里的手臂上时，Natalie抱着你）
JennaReturns,（Jenna走过去，拿走了振动器）|给你们俩打个招呼。
OutOfTime,（你意识到你的下一节课就要开始了。|你放了她，她收拾好了自己）
SubbieMasturbate,（Natalie的触碰会给你带来美妙的高潮。|当它消退时，她会释放你）
NoMasturbate,（她把你的手推开。|你注定要“紧紧束缚”她）
NatalieOrgasm1,（她因甜蜜的性高潮而颤抖|但她似乎在压抑它）
NatalieOrgasm2,（她再也无法控制自己了，|她爆发出了可怕的高潮）
Cuffs,（这是一个紧缚俱乐部，|现在似乎不是戴手铐的合适时机）
KissGagged,（你吻了她的嘴。她试图回吻你，|然后对着嘴轻轻地呻吟着）
KissTied,（你深情地吻着，她轻轻地咬着|你的嘴唇，当你说完并抽离时）
TickleTied,（她疯狂地扭动着身体，哈哈大笑，|她很怕痒，但现在无法抗拒你）
SubbieNoItem,（她推开你的手和那件物品）|我已经有了让你成为我的一切。
TogetherNoItem,（Jenna推开你的手和物品）|我已经有足够的东西让你们俩靠得更近了。
SecondRope,（你把她推到附近的桌子上，|用更多的绳子把她的身体和腿绑在上面）
FirstRope,（你紧紧地绑住她的身体和手臂，|让她平静地呻吟着表示赞同）
Blindfold,（你把眼罩戴在她的眼睛上。这似乎让她很紧张，不知道绑架她的人在哪里）
BallGag,（她开玩笑地抗拒了你一会儿|然后张开嘴接受了口球）
ClothGag,（她开玩笑地抗拒了你一会儿|然后张开嘴接受了被填满嘴巴）
TapeGag,（她开玩笑地反抗你，然后把头保持不动|闭上嘴让你用胶带封住）
Crop,（你用鞭子抽打她几下。|她痛苦地尖叫着，屈服于你）
VibratingEgg,（她极力抗拒你，但你还是把它塞了进去，让她浑身发抖）
Collar,（你需要+20或更高的顺从度以及一个|特殊的仪式来给Natalie戴上这个表示服从的项圈）
LeaveBoundAndGagged,（你真的想放弃她被束缚和堵塞的状态吗？再次单击即可）
