Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerNaked,@自慰,当你受到约束时，不可能让自己快乐,0,0,0,StartMasturbate()
0,0,0,!Common_PlayerNaked,@脱衣|自慰,当你受到约束时，不可能让自己快乐,0,0,0,StartMasturbate()
0,0,0,,@睡吧|（结束这一天）,你确定要睡觉吗|这将结束这一天和游戏,10,0,0,
10,0,0,,@好的，去睡吧|（结束这一天）,,10,0,0,"EndChapter("""")"
10,0,0,,@不，保持清醒|（继续）,你似乎还剩下一些精力,0,0,0,
100,0,0,,@按摩你的乳房,你慢慢地用一只手按摩乳房，然后默默地呻吟,100,0,0,MasturbateUp()
100,0,0,,@捏你的乳头,你捏了捏自己的乳头，然后因疼痛而轻轻呜咽,100,0,0,MasturbateUp()
100,0,0,,@按摩你的阴蒂,你深情地按摩阴蒂，同时呻吟得越来越大声,100,0,0,MasturbateDown()
100,0,0,,@玩弄你的阴部,用两根手指，你玩弄着你的阴唇，高兴得发抖,100,0,0,MasturbateDown()
100,0,0,,@将手指向内和向外滑动,你在呼吸越来越快的同时，将你的指数滑入和滑出,100,0,0,MasturbateDown()
100,0,0,,@探索内部,你探索阴道内部|在这个过程中达到非常甜蜜的点,100,0,0,MasturbateDown()
100,0,0,,@停下来站起来,你从床上起来,0,0,0,StopMasturbate()
110,0,0,,@让自己去高潮吧,你让自己沉浸在美妙的狂喜中|而你的手指给你带来甜蜜的高潮,120,0,0,Climax()
110,0,0,,@别自慰了,你冷静下来，深呼吸，在达到高潮之前停止一切,100,0,0,StopMasturbate()
120,0,0,,@继续手淫,为了确保你满意，|你又开始抚摸自己了,100,0,0,
120,0,0,,@停下来站起来,你从床上起来，感到放松和满足,0,0,0,StopMasturbate()
200,0,0,,（吻她的嘴唇）,（你轻轻地吻她的嘴唇，但她不太喜欢，还自慰）,200,0,0,"Sex(-1, 1, false, false)"
200,0,0,,（亲吻她的胸部）,（你们互相亲吻对方的乳房，但这似乎比她更让你高兴）,200,0,0,"Sex(0, 1, false, false)"
200,0,0,,（按摩她的胸部）,（你们互相按摩乳房，但这似乎比她更让你高兴）,200,0,0,"Sex(0, 1, false, false)"
200,0,0,,（捏她的乳头）,（你捏了捏对方的乳头，两人都因疼痛而跳起来尖叫）,200,0,0,"Sex(1, 1, false, false)"
200,0,0,SexSoft,（玩弄她的阴蒂）,（你们慢慢地玩弄对方的阴蒂，轻轻地呻吟）,200,0,0,"Sex(1, 1, true, false)"
200,0,0,SexSoft,（抚摸她的阴部）,（你们轻轻地抚摸着对方的阴唇，轻轻地呻吟）,200,0,0,"Sex(1, 1, true, false)"
200,0,0,SexSoft,（将手指滑入）,（你们俩都用手指互相手淫，她似乎真的很喜欢）,200,0,0,"Sex(2, 1, true, false)"
200,0,0,SexWild,（舔舐她的阴部）,（你两抱在一起以69式相互舔舐着|她似乎真的很喜欢）,200,0,0,"Sex(2, 1, true, false)"
200,0,0,SexWild,（用拳头打她）,（当她给你手淫时，你用拳头打她|她因狂喜而尖叫和颤抖）,200,0,0,"Sex(3, 1, true, false)"
200,0,0,,够了|（从床上起来）,我们现在停下来？太快了,200,0,0,LeaveBedFromSex()
210,0,0,,（靠近她休息）,（你们给了对方一个大大的拥抱）|妈的！那他妈的太棒了！,220,0,0,AfterSex()
210,0,0,Common_ActorIsLover,（亲吻她的脖子）,（当她恢复呼吸时，你亲吻她的脖子）太棒了，亲爱的！,220,0,0,AfterSex()
210,0,0,Common_ActorIsLover,我爱你，Sidney,（她微笑着慢慢地恢复了呼吸）|我爱你，亲爱的。太棒了！,220,0,0,AfterSex()
210,0,0,,太棒了,他妈的耶！太棒了,220,0,0,AfterSex()
210,0,0,,你这个混蛋太棒了,（她恢复了呼吸，咯咯地笑了起来）|好吧，谢谢！那他妈的太棒了,220,0,1,AfterSex()
210,0,0,,爽的说不出话来,那我替你说|他妈的太棒了！,220,0,-1,AfterSex()
220,0,0,,美好的事物|都有结束的那一刻,是的！（你们两个站起来）,900,0,0,OffBed()
220,0,0,,（保持沉默，站起来）,（你们俩都保持沉默，站起来）,900,0,0,OffBed()
220,0,0,Common_ActorIsOwned,从床上下来，奴隶,是的，主人！（你们两个站起来）,900,0,0,OffBed()
220,0,0,Common_ActorIsOwner,我们起床了吗，主人？,是啊，婊子。（你们两个站起来）,900,0,0,OffBed()
220,0,0,Common_ActorIsLover,你想和我这样睡吗？,当然，亲爱的。睡在一起真是太好了,230,0,0,
230,0,0,,与Sidney同床共枕|（结束这一天）,,230,0,0,"EndChapter(""Lover"")"
230,0,0,,以后我们有的是时间做爱|（从床上起来）,是啊，以后我们有的是时间,900,0,0,OffBed()
300,0,0,,（抚摸她的腿）,（你们慢慢地互相爱抚着她的腿）,300,0,0,"Sex(0, 1, false, false)"
300,0,0,,（吻她的腿）,（你们慢慢地亲吻对方的腿。|每次接触，她都会默默地呻吟）,300,0,0,"Sex(1, 1, false, false)"
300,0,0,,（亲吻她的阴部）,（你们亲吻对方的阴唇。|湿度似乎在上升）,300,0,0,"Sex(1, 1, false, true)"
300,0,0,,（轻扫她的阴蒂）,（当你们互相亲吻阴蒂时，她笑着发抖）,300,0,0,"Sex(1, 1, false, true)"
300,0,0,SexSoft,（抚摸她的阴部）,（你们俩抚摸对方的阴部时，她大声呻吟）,300,0,0,"Sex(2, 1, true, false)"
300,0,0,SexSoft,（舔她的阴部）,（你们俩舔对方的阴部时，她浑身发抖）,300,0,0,"Sex(2, 1, true, true)"
300,0,0,SexSoft,（将手指滑入）,（你把手指伸进对方的身体里，享受一些古怪的探索）,300,0,0,"Sex(1, 1, false, false)"
300,0,0,SexWild,（舔舐她的阴部）,（你们亲昵地互相舔舐着|导致她不停地呻吟并剧烈痉挛）,300,0,0,"Sex(3, 1, true, true)"
300,0,0,SexWild,（将拳头插入阴部）,（你试图插入拳头，但最终只会伤害到她）,300,0,0,"Sex(-1, 1, false, false)"
300,0,0,,够了|（从床上起来）,我们现在就结束|它有点快,300,0,0,LeaveBedFromSex()
310,0,0,,（靠在她身上）,（你们互相拥抱时，靠在她身上休息）|性天堂是一个如此美妙的地方,320,0,0,AfterSex()
310,0,0,,（吻她的脚）,（你轻轻地吻她的脚，她咯咯地笑）|性天堂是一个如此美妙的地方,320,0,-1,AfterSex()
310,0,0,Common_ActorIsLover,我爱你，Amanda,（她微笑着紧紧地拥抱你）|我爱你，COMMON_PLAYERNAME,320,1,0,AfterSex()
310,0,0,,太棒了,（她点点头，紧紧地抱住你）|性天堂真是个好地方,320,1,0,AfterSex()
310,0,0,,你这个混蛋太棒了,（她叹了口气）我明白你的意思，但还有更好的表达方式,320,-1,1,AfterSex()
310,0,0,,爽的说不出话来,彼此彼此。性爱天堂是一个美妙的地方,320,0,0,AfterSex()
320,0,0,,美好的事物|都有结束的那一刻,是的，说得好。（你们两个站起来）,900,0,0,OffBed()
320,0,0,,（保持沉默，站起来）,（你们俩都保持沉默，站起来）,900,0,0,OffBed()
320,0,0,Common_ActorIsOwned,从床上下来，奴隶,是的，当然是主人|（你们俩都很快起床）,900,0,0,OffBed()
320,0,0,Common_ActorIsOwner,我们起床了吗，主人？,是的，我的奴隶。（你们俩都起床了）,900,0,0,OffBed()
320,0,0,Common_ActorIsLover,你想和我这样睡吗？,是的，亲爱的，这是个好主意|我会像天使一样睡在你的怀里,330,0,0,
330,0,0,,与Amanda同床共枕|（结束这一天）,,330,0,0,"EndChapter(""Lover"")"
330,0,0,,以后我们有的是时间做爱|（从床上起来）,是的，以后我们有的是时间,900,0,0,OffBed()
400,0,0,,（赞美她）,（你们彼此说些亲切而充满爱意的话。|她很感激，但并不兴奋）,400,0,0,"Sex(0, 1, false, false)"
400,0,0,,（侮辱她）,（你称她为妓女、荡妇、母狗等。|她脸红了，有点湿漉漉的）,400,0,0,"Sex(1, 1, false, false)"
400,0,0,,（抚摸她的腿）,（你们慢慢地抚摸着对方的腿。|这似乎并没有让她那么兴奋）,400,0,0,"Sex(0, 1, false, true)"
