Tag,Content
EventNaked,3000
EventUnderwear,3010
EventSchoolUniform,3020
EventRedBikini,3030
EventWhiteLingerie,3040
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventSlap,3210
EventMasturbate,3220
EventCrop,3230
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentSpanked,3930
PunishmentHumiliated,3940
GaggedAnswer1,啊哈！
GaggedAnswer2,（她嘴里咕哝着什么）
GaggedAnswer3,哦，哦，哦！
GaggedAnswer4,（她盯着你看）
GaggedAnswer5,Ngmh ggn ng！
GaggedAnswer6,哎呀！
GaggedAnswer7,嗯，哦，不是的，是的。
GaggedAnswer8,（她保持沉默）
AlreadyOwned,你已经是自己的女孩了|我不会搞砸的。
UnrestrainFirst,先把我从那鬼地方弄出来。
UnchasteFirst,先把我从那该死的贞操带上拿出来。
PlayerUncollarFirst,先把那该死的项圈拿掉。
PlayerUnrestrainFirst,先摆脱这些束缚。
GetOnYourKnees,很好，那你就是我的婊子了|所以，婊子，跪下。
ReleasePlayer,来，我帮你|（她放了你）
ReleasePlayerGagged,嗯，嗯，嗯|（她放了你）
CannotReleasePlayer,（她挣扎着克制自己，耸耸肩）
ActivityEndGood,够了！太棒了|你知道我随时都可以做。
ActivityEndFair,够了！那很有趣|你知道我随时都可以做。
ActivityEndBad,够了！这有点蹩脚|但你知道我随时都可以做。
ReleaseBeforeExit,在我跑之前，让我来帮你|（她放了你，然后离开了）
MasturbatePlayerOrgasm,你的愿望实现了，婊子！该死的荡妇|（她猛烈地自慰，让你达到高潮）
MasturbatePlayerOrgasmForced,你无论如何都会性交，婊子！哼，我这荡妇|（她猛烈地自慰，让你达到高潮）
ChangingIsBlocked,没有婊子，你不能改变。
ReleaseBeforePunishNotNaked,（她放开你，盯着你看）|好吧，小婊子！裸体。
ReleaseBeforePunishAlreadyNaked,（她放开你，盯着你看）|好吧，婊子！你的惩罚可以开始了。
PunishSinceNaked,既然你已经赤身裸体了，|你的惩罚就可以开始了。
StillGrounded,（Sidney无视你，检查了她的手机。|你需要等一下，你仍然被禁飞）
StillGroundedByOther,算了，我不会帮你的|（你需要等待，你仍然被禁足）
GroundingEndForLeaving,我要去婊子。我稍后打你屁股|你不再被禁足了。
CantFindRestrain,（她检查了你的物品，但似乎没有找到她想要的东西）该死的！
SpankPlayer1,（你跪在她的膝盖上，她突然飞快地打了你屁股）一个！
SpankPlayer2,（她很快举起手，在同一个地方打了另一个屁股）两个！
SpankPlayer3,（她把胳膊抬得很高，然后放下了|一只强壮的胳膊，疼得很厉害）三个！
SpankPlayer4,（她从另一边打你屁股，|打你屁股的新部位）四个！
SpankPlayer5,（她挥了个大秋千，狠狠地打你屁股，把你的屁股都烫红了）五个！
SpankPlayer6,（她又去了另一边，猛烈地击打了前一个区域）六！
SpankPlayer7,（她挥了一个非常快的球，出乎意料地击中了你，让你尖叫起来）七！
SpankPlayer8,（她抚摸你的屁股，慢慢来，然后打一个强壮的屁股）八！
SpankPlayer9,（她又去了另一边，在前一个区域打得很厉害）九！
SpankPlayer10,（她看了看你的红屁股，笑了，|击中了最糟糕的地方）十！
SpankPlayer11,（她又慢又快地摸你的屁股|松开屁股打你）十一！
SpankPlayer12,（她深吸一口气，狠狠地打了一巴掌，让你哭了）十二！
Crop,（你用你的鞭子抽打她的屁股）！卧槽？住手！
CropFromMistress,（你用你的鞭子抽打她的屁股）|主人！拜托！他妈的好痛。
CropWhileGagged,（你用你的鞭子抽打她的屁股|她皱着眉头，呜咽着）
RefuseBondage,（Sidney看到你的物品，把它推了回去）|你到底在干什么？
TurnTables,（Sidney压倒了你，对你施加了约束）这会教你的。
TurnTablesFromMistress,你想被束缚住吗，贱人？好吧|（Sidney用你自己的束缚来对付你）
AcceptChange,好吧。我该穿什么？
AcceptChangeFromLover,是的，亲爱的。你想看什么？
AcceptChangeFromMistress,当然，主人。你想让我穿什么？
NoNeedToChange,（她抬起眼睛）|那就不用换了。
Rope,（当你把绳子绕在她身上打结时，她默默地咕哝着）
TwoRopes,（你再挑一根绳子，把她的腿绑成坐姿）
ThreeRopes,（你加了第三根绳子，把她绑得太紧了）
Armbinder,（你把她粗壮的手臂塞进袖扣里，系好鞋带，系紧）
Cuffs,（当你紧紧抓住她的手，把它们铐在背后时，她皱着眉头）
BallGag,（她有点挣扎，但你可以把塞子绑在她头上）
TapeGag,（她有点挣扎，但你可以用胶带封住她的嘴）
ClothGag,（她有点挣扎，但你可以把药塞到她嘴里，把药塞上）
CuffsKey,（她看到钥匙，转过身来，这样你就可以给她开锁了）
VibratingEgg,（当她看到跳蛋时，她摇了摇头，但你可以把它推进去）
ChastityBelt,（她看到贞操带时惊慌失措|但你可以把它紧紧地锁在她身上）
Collar,（你需要+20顺从度和一份完整的获奖感言来吸引她）
CollarToEnslave,（你需要一个项圈来奴役某人）
EnslaveAlreadyTried,我们已经谈过了|我不会戴你的项圈。
AcceptCollar,是的，小姐。我会戴上你的项圈|我愿意做你的奴隶。
CannotActWhileRestrained,（她抬起眼睛，在束缚中扭动）
CannotBeDoneWhileRestrained,（当你被约束时，你不能这样做）
NakedForBelt,（Sidney必须裸体才能给她戴上贞操带）
AcceptPusherDeal,这是什么糟糕的交易|好的！我来做！反正我很快就会付钱的。
OrgasmFromSidneyPleasure,（Sidney巧妙地将舌头伸进你的身体。|让你从高潮中颤抖和呻吟）
PleasureFromSidneyNoProgress,（Sidney试图用嘴取悦你，但|没有合适的节奏来取悦你）
KissSidneyOwner,（你弯下膝盖，亲吻你主人的手）
KissSidneyGagged,（你亲吻她的嘴，而她却好奇地看了你一眼）
KissSidneySeduction,（你热情地吻了她，她一边慢慢呻吟，一边用法式长吻回应）
StartMasturbateSidney,（你靠近Sidney，开始温柔地抚摸她）
ReadyForOrgasm,（她不受控制地颤抖，大声呻吟，她即将达到高潮）
MasturbateNotInTheMood,（你开始抚摸她，但很明显她没有心情）
ChangeAfterCollaring,如果不问我，你就不能做任何性行为。|（她变了）站起来，让我们做点有趣的事。
SpankWithStrength,（当她呜咽时，你用力打她的屁股）
ReleaseBeforeTalk,你能先放了我吗？
UnlockBeltBeforeSex,你能先解开贞操带吗？
CantDateWhileRestrained,你会被束缚感激怒，是吗？
CantDateWhileNaked,你被肉体激怒了，是吗？
StripForSecondRope,（如果她衣服少一点，你可以用第二根绳子）
NoTickling,（你试图挠她痒痒，但她很快把你推开）
AlreadyLoved,我没有。有时候我希望我的生活中有像你这样的人。
AlreadyBrokeUp,我不想和你谈这个。
AlreadyWentOut,再一次？也许明天吧|我累坏了，亲爱的。
RockShowAlreadyStarted,一场摇滚表演已经开始了|我们现在就走吗，亲爱的？
SpankInShorts,（她变了）不再穿内衣了！在这里转弯|（她坐在床上，指着自己的腿）
ForcePigCostume,（你给她穿上了猪的服装，而她却徒劳地试图脱下它）
ForcePigCostumePicture,（你给她穿上猪的服装，拍了一张|照片，而她却徒劳地试图脱下它）
StillGroundedGagged,OMM！多恩！毛昂|（她抱怨着，盯着你看）
