Tag,Content
Touching,（你伸出的手碰到了一件衬衫和一只手臂）
Feeling,（你听到一声咯咯的笑声，感觉有人从你身边掠过）
Wrestle,（你疯狂地抓住并摔跤。别人递给你一些手铐，帮你抓住）
Pin,（你推着他们，做了一些艰难的事情。|你感觉到其他人急于帮助抓捕）
Dodged,（他们躲过了你的追捕，你摔倒了，|一堆堆倒在地板上）
Marco0,波罗|（这是从房间的另一边传来的）
Marco1,波罗|（听起来像是从你右边传来的）
Marco2,波罗|（那是你身后的一个人）
Marco3,波罗。（它就在你面前，但离你只有几步之遥）
Listen0,（你可以听到左边咯咯地笑，有人撞到了你面前的桌子）
Listen1,（其中一个女孩对着你的右耳大喊Polo，然后跑开了）
Listen2,（有人把桌子向前推|离你的位置有点远）
Listen3,（房间里一片诡异的寂静，|被悄悄的踮起脚尖和笑声打破）
Turn0,（你转身大步走）
Turn1,（你转过身，发现路上还剩下一把椅子，|小心绕过它）
Turn2,（突然的噪音会让你急转弯。|那里什么都没有，但你刚才转了多远？）
Turn3,（你慢慢地转过身来，当然应该有一张桌子，但现在不是了）
Forwards0,（自信地大步向前，|你撞到了一些桌子上）
Forwards1,（当你向前走时，有人在你身后大喊）|没有人在这里。
Forwards2,（你向前走的时候瞥了一眼椅子。有人对你喊道）老鼠，她错过了。
Forwards3,（当你向前走时，那里什么也没有）
Backwards0,（慢慢向后爬，你什么也没发现）
Backwards1,（听到一个声音，你快速旋转，但只找到一片空白）
Backwards2,（一张桌子挡住了你的路，当你摸索着绕过它时，它会发出吱吱嘎嘎的声音）
Backwards3,嘘，她会听到我们的。（你面前还有几个女孩吗？）
Lost0,（你跌倒在椅子上）。给她一个惩罚。
Lost1,（你被向后推，压在蹲在你身后的另一个人身上）她倒下了，这是一种惩罚。
Lost2,（当你跌跌撞撞地撞到桌子上时，一个推搡会让你摔倒）|看起来这场比赛已经进入罚球时间了。
Lost3,（在混乱中，你绊倒了自己的脚，|摔倒在地板上）这是一种惩罚。
Cuffed,（当你站起来时，有人把你的手臂拉到身后，把它们铐在一起，然后跑开了）
StealItems,（他们一组把你固定下来，找到你所有的物品，然后在你起床前带着它们跑掉）
Gagged,（当你站起来时，有人把一个球塞进你的嘴里，扣紧，然后跑开了）
ShutUp,哦，闭嘴。（一个球塞被塞进你的嘴里，绑得很紧）现在继续吧。
GameOver,倒霉，你没命了。你总是可以再试一次，但首先你得认输。
Helped,（有人把你的嘴拿掉了）|你想说什么吗？
