Tag,Content
HeatherGivenAway,那就玩得开心吧|（Lucy挥手告别，你把她妹妹拖走了）
TwinUngag,（你堵住她的嘴，但她只是把它拿掉）|我讨厌被堵住。
TwinUnblindfold,（试着蒙住她的眼睛，但她只是把它摘了下来）|没有那个，这已经够糟糕的了。
TooSubmissive,（她阻止了你）哦，不，你没有，|你太顺从了。
GetSomeItems,你没有多少钱，我也够不到这样的东西。
CuffsNeedKey,（你需要用钥匙打开她的手铐）
NoManacleKey,（她的手臂牢牢地锁在手铐里，没有钥匙就没有出路）
RopeHow,你打算怎么把她绑起来？
UntieLegsFirst,（她必须跪下来把腿锁起来。|你需要先解开她的腿）
SquirmCrotchRope,（你设法把她绑起来，她开始扭动）|哇，你把这根胯绳弄得太紧了。
CanRestrainMe,我想是的。|我不能去做太多其他事情。
SufferNoFools,别再胡闹了|（她抓住你，翻遍你的物品）
ShameNoItems,别再胡闹了|很遗憾你身上没有任何有用的东西。
NotDoneYet,我还没说完呢|（她又看了一遍你的东西）
JustChastityBelt,（她把贞操带锁在你身上）
JustVibratingEgg,（她拿起一个震动的跳蛋，把它塞进你的阴道）
NoItem,不，你不是在用它对付我。|（她挡住了你）
NotChastable,（你不能把贞操带绑在她腿上）
FitChastityBelt,（你把贞操带紧紧地系在她身上。|当它咔嗒一声关上时，她叹了口气）
FitVibratingEgg,（你把跳蛋塞进她肚子时，她不舒服地扭动着）
NoSkirtRemove,嘿，别这样。（她挡住你，不让你把她的裙子拉下）
SkirtPulled,（脚镣阻止你脱下她的裙子。|你只能把它拉到膝盖附近）
NoUniformRemove,嘿，别这样。（她挡住你，并阻止你脱下她的制服）
RemovingUniform,（她不情愿地让你脱下她的制服）
UnableToHelp,（她耸耸肩，低头看着自己的束缚。
SorryNoHelp,对不起，我这样也没用。
ManaclesNoHelp,对不起，看来我们现在都被困在这些枷锁里了。
WillHelp,好吧，那么，你想得到帮助来摆脱这种束缚吗？
JustAddedBondage,不，你只是要求那样|你可以保持这样一段时间。
WillTellMore,好吧，不过你必须保证不把这件事告诉别人。
NoKeys,对不起，我没有锁的钥匙。
NoKeysRemoveGag,我没有锁的钥匙|但我至少可以帮你解闷。
FitRandomGag,（她浏览了你的物品，为你选了一个笑话）好了，安静又好。
HeatherRevenge,（她又看了一遍你的东西）|其实我可以帮你。
ShutUpAlready,你真烦人，这应该让你闭嘴|（她用你自己的一个笑话来嘲笑你）
FindKeysAlready,（她抓住你，狠狠地打了你一屁股，然后把你推开）现在，去找这些手铐的钥匙。
KissBound,（你把她拉进来吻她，但她不回吻，你就停了下来）这种感觉不是相互的。
TickleBoundLegsFree,（她咯咯地笑着扭动身体，然后用力踢你）|不，不是那样的。别管我。
TickleBound,（她咯咯地笑着，无助地扭动着身体）|不要了，请不要了。
TickleBound2,Nha-haha-he-he-no-pl-pl-pleases-to-nhe-ha|he he ha-ah-pl请怜悯怜悯！
TickleBound3,（她笑着咯咯地笑了起来。|写信求你停下来）
TickleGaggedLegsFree,（她扭动身体，因为口球让她咯咯地笑，|但随后又狠狠地踢了你一脚）
TickleGagged,（当她无助地扭动时，这句话掩盖了她的笑声和恳求）
TickleGagged2,（她无助地扭动着身体，笑声和恳求都被这个笑话遮住了）求求你，哼，哼！
TickleGagged3,（这个笑话几乎无法让她的笑声和无助的咯咯笑。她扭动着身体，恳求你停下来）
SpankBound,哎哟。那是干什么用的？
SpankGagged,HWW。为什么为什么？
BreastsBound,别这样。（她扭动身体，试图拉开|当你感觉到她的乳房并挑逗她的乳头时）
BreastsGagged,（当你抚摸她的乳房并挑逗她的乳头时，她会扭动、呜咽并试图拉开）
MasturbateBound,啊啊，别这样，马上！
MasturbateGagged,（当她疯狂地摇头时，呕吐声掩盖了她愤怒的呻吟）
HelplessPleasure1,（她试图让自己镇定下来，但一碰到你就开始发抖）
HelplessPleasure2,（她试图稳定自己的呼吸，但可以帮助自己不随着你的节奏扭动）
HelplessPleasure3,（再也无法抗拒你了，|她有一个无声的高潮）
HelplessPleasure4,（她高兴得发抖，呜咽着，|对你的行为无能为力）
ChasteMasturbate,（贞操带阻止了你）只要我有钥匙，我可能得给自己买一个。
ChasteMasturbateGagged,（当贞操带挡住你徒劳的刺激她时，她咯咯地笑了起来）
Crop,（她被庄稼的刺痛痛得叫了起来）
TwoRopes,（你再拿一根绳子，把她的腿绑在一起）
Cuffs,（你用手铐把她的手固定在背后）
CuffsKey,（你解开她的手铐，她很快就会解除所有束缚）
BallGag,（她恳求你，但把球塞进嘴里很快就会让她呜咽起来）
ClothGag,（她恳求你，但她嘴里塞满了一大团布，只能呜咽）
TapeGag,（她恳求你，但一条粘在她嘴唇上的胶带阻止了这一点）
Blindfold,（当你把眼罩扣在她的眼睛上时，她吓得尖叫起来）
Armbinder,（在系好带子和鞋带之前，你把她的手臂甩在身后，塞进袖扣里）
