Tag,Content
Rope,（你把绳子绕在她的身上，|每打结一次，她的呻吟声都会大一点）
Cuffs,（你把她的手别在背后，|然后铐上，她每“咔嗒”一声都会发抖）
BallGag,（她摇头拒绝着，但还是被你|强行将口球塞进嘴里，并紧紧的扣住）
TapeGag,（她摇头拒绝着，但还是被你|用胶布把嘴封上了）
Uncuff,（你用钥匙解开束缚，她发出一声呻吟，|迅速抓向了旁边的围栏）
Crop,（你用皮鞭重重地打在她的身上。她痛哭起来|并没有表现出享受这个过程的迹象）
VibratingEgg,（她用力夹紧双腿，但你还是用力的推着，把它滑了进去）
Collar,(你需要+20或更高的顺从度以及|一个特殊的仪式来给她戴上代表服从的项圈.)
LoveNoItem,（她推开了你的手和那件东西）|亲爱的，现在并不适合做那样的事。
SubbieNoItem,（她推开你的手和那个物品）|我现在只需要一个乖乖女~
Orgasm,（她再也无法控制自己了，|就在校园里安静地达到了高潮）
Masturbate,（当你给她手淫时，她大声呻吟。|你的爱抚让她无法控制地颤抖）
LoveStart,（你们不自觉地互相撩起对方|的裙子，开始相互手淫起来）
LoveMasturbate,（Amanda的触碰给你带来美妙的高潮。|看着你享受的样子，她将手停下来并撤了出来）
SubbieMasturbate,（Amanda的触碰给你带来美妙的高潮。|看到你如此愉悦，她停止了对你进行刺激）
LeaveBoundAndGagged,（你真的要将她抛弃在这里吗？再次单击即可）
