Tag,Content
WarnKidnapper,（当你抓住她时，Amelia阻止了你）|绑架其中一个就够了，另一个留在这里。
StopKidnapper,够了|你可以尝尝自己的药。
StoppingYou,好的，我会的|（她紧紧抓住你，强迫你穿过房间）
ForceTied,别再争辩了。它不适合你|（Amelia强迫你脱光衣服，把你绑起来）
YouTry,我不会再尝试了，|但我想她现在可能会屈服于你。
WouldYourSisterShake,（她摇了摇头）
WouldYourSisterNod,（她点了点头）
LucyUnties,可以。谢谢你让我在你身上练习|（她解开你的手臂）
LucyNotTieYou,没关系|当你准备好尝试时，请告诉我。
AnnoyedUngag,我想我可以去掉你的嘴，但前提是你对我好。（她去掉了你的嘴）
AnnoyedNoUngag,我宁愿你闭嘴。我唯一想把它拿掉的就是用肥皂漱口。
LucyHadEnough,就是这样。唯一的问题是你的态度。不管我怎么想，你都可以这样。（她让你悬而未决）
StayRightThere,对不起，我不喜欢取悦女孩，但我知道有人可能喜欢|（她穿过房间走了）
CassiAppears,（Lucy带着Cassi回来了）|你好，COMMON_PLAYERNAME，你看起来很可爱。
NewGirlAppears,（Lucy带着另一个女孩回来了，她兴奋地尖叫起来）|哎呀，她真可爱。嗨，我是Cassi。
GagOption,让我们看看你的嘴有多大，想要内裤还是袜子？|（Lucy把你留给Cassi）
CassiLegTieA,（当你开始怀疑内裤是否干净时，|Cassi青蛙绑住了你的腿）
CassiLegTieB,（当你开始怀疑袜子是否干净时，|Cassi青蛙捆住了你的腿）
CassiLegTieC,（现在太晚了，胶带把内裤牢牢地夹在嘴里。Cassi青蛙把你的腿捆了起来）
CassiLegTieD,（现在太晚了，胶带把袜子牢牢地夹在嘴里，而Cassi青蛙则把你的腿捆起来）
CassiLegTieE,（内衣和胶带的组合几乎完全让你哑口无言，而Cassi青蛙则绑着你的腿）
CassiLegTieF,（你在思考你的困境|而Cassi青蛙却绑着你的腿）
CassiCuffed,没有理由我们不能都享受一点束缚|（Cassi给自己戴上手铐，然后开始用鼻子蹭你的阴部）
CassiAnkleHold,（Cassi紧握着你的双腿）
CassiErratic,（Cassi的挣扎和口头调侃变得不规则，|无法把被困的头拉出来）
CassiDespirate,（Cassi的挣扎变得更加绝望。|她不稳定地试图用舌头取悦你）
CassiColapse,（Cassi终于从你令人窒息的拥抱中挣脱出来|瘫倒在地上，喘着粗气）
CassiFinger,（在挑逗你的阴蒂的同时，Cassi把一根手指伸进你的阴道，不断地放松它）
GruntHelplessSock,（Cassi不停地舔舐着，|而你却扭动着，堵住了袜子）
FingerInOut,（Cassi不停地挑逗你的阴蒂，开始慢慢地把手指滑进和滑出你的阴道）
FingerPressUp,（Cassi不停地挑逗你的阴蒂，用手指找到你的G点，然后用力按压
FingerComeHither,（Cassi不停地挑逗你的阴蒂，用手指伸进你的阴道，开始抚摸你的G点）
FingerVibrator,（Cassi不停地挑逗你的阴蒂，玩弄你阴道里的跳蛋，把它推到你的G点上）
ChangeToLickUp,（Cassi把她的挑逗变成了长时间稳定地舔舐你的阴蒂）
ChangeToCircular,（Cassi把她的挑逗变成了围着你的阴蒂绕圈舔舐）
ChangeToABC,（Cassi把她的挑逗变成了舔舐模式，舔舐你的阴蒂）
ChangeToElectricslide,（Cassi把她的挑逗变成了在你的阴蒂上并排舔舐）
ChangeToSuck,（Cassi把她的挑逗变成了温柔地吮吸你的阴蒂）
ChangeToCircularFlick,（Cassi把她的挑逗变成了舔你的阴蒂，并经常用舌头拍打）
ChangeToHardLick,（Cassi把挑逗改成了狠狠地舔你的阴蒂）
ChangeToNibble,（Cassi把她的挑逗变成了用牙齿轻轻地咬你的阴蒂）
CassiAnkleGrab,（Cassi毫不犹豫地抓住你的脚踝，把它们从她身上拉开）
SuspendedOrgasm,（束缚、悬吊、被塞入贴身衣物|你在俱乐部前会得到一个美妙的高潮）
CassiHadEnough,（你的高潮消退了，Cassi停下来抬头看了看）|我想这对你来说已经足够快乐了。
CassiAsks,（你的高潮消退了，Cassi停下来抬头看）|够了吗？
CassiLeavingGift,你是一个惩罚的面筋！（她把一个震动的跳蛋塞进你的阴道，然后离开了）享受吧，再见。
NotBelted,对不起，我只是觉得这可能很有趣|（她放开你，发现你穿着干净的内裤）
EggNBelted,这应该做得很好|（她把一个跳蛋塞进你的阴道，检查你的肛塞，然后锁上贞操带）
PlugNBelted,这应该做得很好|（她检查你阴道里的跳蛋，塞住你的屁股，然后锁上贞操带）
JustBelted,你已经吃饱了吗|（她检查了你的阴道和肛塞，然后锁上了贞操带）
ArgueEggNBelted,别再争论了|（她把一个跳蛋塞进你的阴道，检查你的肛塞，然后锁上贞操带）
ArguePlugNBelted,别再争论了|（她检查你阴道里的跳蛋，塞住你的屁股，然后锁上贞操带）
ArgueJustBelted,别再争论了|（她检查了你的阴道和肛塞，然后锁上了贞操带）
RevealLucy,（她在你耳边低语）别担心，我真的是Lucy|如果我是Heather的话，你现在就有麻烦了。
RevealHeather,（她在你耳边轻声细语）|顺便说一句，Lucy还被捆着，嘴里还堵着。
ChasteKnot,伸手到身后拉胯绳。贞操带可以保护你，但你不能戴得太高。
ChasteStruggle,你的贞操带让你的阴部免受胯绳的全咬，因为踢腿会把它拉得更紧。
ChasteTug,你感觉到贞操带紧贴着你的阴部|这有点不错，但很难刺激。
AlreadyRolled,好吧，如果这是你想要的，我们可以继续玩。
Sensitive2,天哪，我无法想象你为什么要忍受这种痛苦。
Sensitive3,你知道我们的安全词|如果你想让我把乳夹拿掉，就直说吧。
Sensitive4,你这可怜的家伙，我怀疑你活不了多久|你愿意屈服，让我把那些愚蠢的乳夹拿掉吗？
Masochist2,你真的喜欢这种折磨吗|（她加大了乳夹上的压力）
Masochist3,你是个古怪的女孩。这对任何人来说都是残酷的惩罚|（她用力拉乳夹）
Masochist4,如果你想要剧烈的疼痛，就服从我的意愿。
Defiant2,你真勇敢。为什么我猜不出来|（她用力地拉了一下链子）
Defiant3,如果你能提交，我会很快停下来|（她用链子摇你的乳房）
Defiant4,现在越来越无聊了。
NewMistress,女主人？我喜欢这个说法。一会儿哪儿也别去|（她匆匆离去，把你留在那里）
ReadyForNewMistress,女主人？我喜欢这个说法|我能看到那个项圈，我正好有适合它的东西。
RemoveClamps,（她取下乳夹，开始解开你）
CannotPlug,该死，那条贞操带挡道了|插上你将不得不等待。（她放了你）
AcceptGifts,你必须学会接受新情妇的礼物|（她开始把屁股塞进你的屁股里）
Collar,
Crop,
Rope,
Cuffs,
BallGag,
TapeGag,
ClothGag,
VibratingEgg,
Blindfold,
