Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,是我，|很高兴认识你。,我也很高兴认识你|见到新俱乐部成员总是很高兴。,30,1,0,
0,0,0,PlayerGagged,@hn nngm th mmmt nhh。,对不起，我听不懂你在说什么|你得先把那个口塞拿掉,25,0,0,
0,0,0,,（点了点头）,别害羞，我们都是朋友。,30,0,-1,
10,0,0,,你能帮我解开吗？,对不起，我相信你可以自己摆脱困境的,15,0,0,
10,0,0,PlayerGagged,@呜呜呜..。,对不起，我听不懂你在说什么|你得先把那个口塞拿掉,15,0,0,
10,0,0,,（点了点头）,太好了，玩得开心。,15,0,0,TiedNod()
20,0,0,,你能把这些手铐拿掉吗？,我实际上没有手铐钥匙，但我可以教你如何逃脱。,50,0,0,
20,0,0,,你被困在里面|会看起来更好。,手铐有从我身上滑落的习惯。|你想学怎么做吗？,50,0,0,
20,0,0,PlayerGagged,@呜呜呜...。,对不起，我听不懂你在说什么|你得先把那个口塞拿掉,25,0,0,
20,0,0,,（点了点头）,也如此顺从|你是想保持这样还是学会逃跑。,50,0,-1,
25,0,0,PlayerGagged,@呜呜呜..。,对不起，我听不懂你在说什么|你得先把那个口塞拿掉,25,0,0,
30,0,0,,你在做什么？,我正在教Nicole如何在没有钥匙的情况下逃脱手铐|你知道怎么做吗？,40,0,0,
30,0,0,,我可以把你绑起来吗？,哇，现在不行，我在教Nicole如何逃脱手铐|你也想学怎么学吗？,40,0,1,
30,0,0,,你能把我捆起来吗？,也许以后，我现在正在教Nicole如何逃脱手铐|你也应该学这个。,40,0,-1,
30,0,0,BlindfoldAvailable,这个眼罩是干嘛的？,我本来打算蒙着眼去挣脱手铐|不过可以给你用，你可以试试。,30,0,0,GetBlindfold()
40,0,0,,我不知道这是可能的。,没有什么是不可能的|手铐机制真的很粗糙。,100,0,0,
40,0,0,,让拇指脱臼不就好了,别傻了，还有不那么痛苦的方法|手铐机制真的很粗糙。,100,-1,0,
40,0,0,,有趣的告诉我更多。,当然|手铐机制真的很粗糙。,100,1,0,
40,0,0,,我对手铐不太感兴趣。,很好，你应该试试我旁边的女孩。|她们正在讨论绳索技巧。,45,0,0,
45,0,0,BlindfoldAvailable,这个眼罩是干嘛的？,我本来打算蒙着眼去挣脱手铐|不过可以给你用，你可以试试。,45,0,0,GetBlindfold()
50,0,0,PlayerHasKey,我有钥匙，但我想学。,这一切都很好，但钥匙可能会丢失|手铐机制真的很粗糙。,100,1,0,
50,0,0,,请教我，|这些手铐很疼。,当然，亲爱的|手铐机制真的很粗糙。,100,1,-1,
50,0,0,,好的，现在告诉我。,好的，稳住。|手铐的机制真的很粗糙。,100,0,1,
50,0,0,,算了，我去找钥匙。,祝你好运。,55,-1,0,
50,0,0,PlayerGagged,@呜呜呜..。,对不起，我听不懂你在说什么|你得先把那个口塞拿掉,50,0,0,
50,0,0,PlayerGagged,（点了点头）,堵住你的嘴是有原因的，|先堵住你的嘴巴，这样我们才能好好谈谈。,50,0,0,
100,0,0,,手铐似乎足够有效。,有效，但很粗糙|它只是棘轮上的|弹簧棘爪，钥匙只是抬起棘爪。,110,0,0,
100,0,0,,但被铐起来会很糟糕,并没有那么糟糕|它只是棘轮上的弹簧棘爪，钥匙只是抬起棘爪。,110,0,0,
110,0,0,,没有钥匙你怎么办？,我通过在棘爪和棘轮之间滑动一条薄金属|迫使它们分开。,120,0,0,
110,0,0,,那你怎么开锁？,这是一种方法|但我只是在棘爪和棘轮之间滑动一条金属。,120,0,1,
110,0,0,,你刚才说....|什么爪子？,不要担心技术语言|你只需要找一根金属滑到正确的地方就好。,120,0,-1,
120,0,0,,那金属条要从|哪里变出来？,神奇的是把它们藏在众目睽睽之下|最常用的按扣式发夹，就非常理想且不易察觉,130,0,0,
120,0,0,,我没有那种东西。,我们很多人都已经戴在身上了|你只需要一个按扣式发夹。,130,0,-1,
120,0,0,,我怎么可能|会有这种东西,你很有态度|我们只需要一个基本的按扣式发夹。,130,1,0,
130,0,0,,你能教我怎么做吗？,先给自己戴上手铐，我会告诉你|就像我对Nicole做的那样。,140,0,0,AlreadyCuffed()
130,0,0,,继续吧|给我们看看是怎么做到的。,好吧，我可以，但如果你把自己铐起来试试|就像Nicole想做的那样，那就更好了。,140,0,1,AlreadyCuffed()
140,0,0,,好吧|（给自己戴上手铐）,（你戴上手铐，把双手铐在背后）|你是个相当听话的学生。,150,1,-1,PlayerCuffed()
140,0,0,,你不会是认真的吧？,是的。如果你不戴上，我就不会说。,145,0,0,
145,0,0,,好吧，这最好是好的。,（你自己戴上手铐和手铐）|如果你认认真真的话，一会就能打开。,150,0,0,PlayerCuffed()
145,0,0,,不，这太愚蠢了。,随你便，我不必告诉你。,145,0,0,
150,0,0,,等等，我该怎么拿到发夹。,你应该先考虑一下|最好把一些藏起来以防万一。,160,0,0,
150,0,0,,（满怀期待地伸出你的手）,这是怎么一回事？,160,-1,1,
150,0,0,,嗯，我这样够不着头。,当然，这就是为什么在衣服上藏一些东西是值得的。,160,0,-1,
160,0,0,,请给我一个发夹,没问题（她伸手把发夹夹在你裙子的腰上）|你现在准备好了。,170,0,-1,KinkyClip()
160,0,0,,来吧，给我一个发夹。,当然（她伸手把发夹夹在你裙子的腰上）|你现在准备好了？,170,0,0,KinkyClip()
165,0,0,,古怪的藏身之处，|我喜欢。,这并不奇怪，藏在不同的地方是个好主意。,170,1,0,
165,0,0,,呃，你非得|把它藏在那里吗。,是的，绑匪可能会脱掉你的制服|藏在不同的地方是个很好的办法。,170,0,-1,
170,0,0,,那我现在该怎么办？,你拿起夹子，把它的宽端来回弯曲，直到它折断。,180,0,0,
180,0,0,,照她说的做。,（最终夹子会在你酸痛的手指上折断）|就是这样，现在只需用铆钉固定细长的部分。,190,0,0,
190,0,0,,现在怎么办？,那正是你需要的薄金属条|将其沿着棘轮齿滑入手铐锁中。,200,0,0,
190,0,0,,然后滑入手铐里？,没错|将其沿着棘轮齿滑入手铐锁中。,200,1,0,
200,0,0,,（将发夹滑入手铐）,（稍微扭动一下，你就能松开手铐）|太棒了，Nicole还没完成。,205,0,0,ReleaseTest()
205,0,0,,（再试一次）,（稍微扭动一下，你就能松开手铐）|不错，你比Nicole快。,205,0,0,ReleaseTest()
210,0,0,,谢谢。你还有发夹吗？,不客气|我买了很多这样的发夹，这里拿几个。,220,1,0,LearntEscape()
210,0,0,,嗯，我想它奏效了。,这总比还戴着手铐好|准备一些备用的发夹以防万一。,220,-1,0,LearntEscape()
220,0,0,BlindfoldAvailable,这个眼罩是干嘛的？,我本来打算蒙着眼去挣脱手铐|不过可以给你用，你可以试试。,220,0,0,GetBlindfold()
300,0,0,,看看我抓到谁了。,是的，你抓住我了，但不会太久|如果Nicole放手，我很快就能逃脱。,310,0,0,
300,0,0,,看起来我抓到|了个美人。,谢谢，但任何手铐都无法长时间束缚我|Nicole，你现在可以放手了。,310,1,0,
300,0,0,,我得到了哪一个？,那是我，如果不是Nicole|在你摘下眼罩之前，我早就把手铐脱了。,310,0,0,
310,0,0,,那我该把你捆起来。,不行，我讨厌绳索的感觉。,315,0,0,
310,0,0,,你真的能逃脱任何手铐吗？,我当然可以。任何手铐，没有钥匙，没问题|你想看看吗？,320,0,0,
310,0,0,,那你有钥匙吗？,不，我不需要钥匙就能逃脱任何手铐。,320,0,0,
315,0,0,,如果我说“请”呢？,答案仍然是否定的。,320,0,0,
315,0,0,,你有资格争论么~,注意！这个俱乐部不可以随便欺负人。,320,-1,0,
320,0,0,,那好吧,（Nicole放了她，Lauren很快就从手铐里溜走了）|瞧，我早就告诉过你了。,330,0,0,
320,0,0,,让我们看看你怎么出来。,我是最棒的|（Nicole放她走了，Lauren很快就从手铐里挣脱了出来）,330,1,0,
330,0,0,,嗯，没那么难。,我比这里任何人都快。,340,-1,0,
330,0,0,,你刚刚用了一个发夹。,那又怎样，我逃出来就行了。,340,0,0,
330,0,0,,哇，你让那看起来|很容易。,是啊，仅仅被铐在背后对我来说几乎不是一个挑战。,340,1,-1,
340,0,0,,你想挑战一下手铐吗？,挑战？你要怎么做呢？,350,0,0,
340,0,0,,我可以用手铐困住你。,恩...我不太确定，但你可以试试。,350,0,1,
350,0,0,,先脱下你的衣服。,什么？好吧。（她不情愿地脱下衣服）|我仍然可以不耍花招地逃跑。,360,0,1,
350,0,0,,如果不用发夹你怎么办？,很多，但我不需要它们|（她自信地脱下制服来证明这一点）,360,0,-1,
360,0,0,,漂亮闪亮的缎面内衣,（她脸红了）|我只是喜欢柔软缎子的质地，仅此而已。,370,0,0,
360,0,1,,古怪的内衣，|把它也脱掉。,（她脸红了）不能在这里脱光，这是不对的|而且这并不意味着变态。,370,-1,0,
360,0,1,,缎面内衣|那谁是个变态的女孩？,（她脸红了）拜托，不是那样的，|我只是更喜欢柔软缎子内衣的感觉。,370,0,1,
360,0,0,,天哪，我真希望|我有一件古怪的内衣。,（她脸红了）|这不古怪，柔软的缎子感觉很好。,370,0,-1,
370,0,0,,好的|我们有多少副手铐？,（Nicole说）Lauren的包里有一大堆东西，|包括一些脚镣。,380,0,0,
370,0,0,,我不确定我|有没有足够的手铐。,（Nicole说）别担心，|Lauren有一个装满手铐和脚镣的袋子。,380,0,-1,
370,0,0,,我想你需要更多的手铐。,我的包里还有更多的手铐和脚镣|我喜欢挑战。,380,1,0,
380,0,0,,很好，我们可以|使用它们，请坐,你没说要用椅子，不过没关系|（Lauren坐在椅子上）,390,0,0,
380,0,0,,逃脱大师~|你应该坐下来。,哇哦，这真让人兴奋|（Lauren坐在椅子上）,390,1,0,
390,0,0,,我现在可以给你|上道具了吗？,没有问题（你拿一些脚镣，|把她的脚踝向后拉，锁起来）,400,0,-1,
390,0,0,,是时候张开你的腿了,你刚才说什么？|（当你把她的腿铐在椅背上时，她吃了一惊）,400,-1,0,
390,0,0,,让我们从你的腿开始。,好的|（你用脚镣把她的脚踝锁在椅背上）,400,0,0,
400,0,0,,很好，现在让我们再给|每只手腕上戴上手铐,不管你用了多少，|我还是会逃脱的。,410,0,0,
400,0,0,,现在伸出你的手腕,像这样|（你把手铐锁在每只手腕上）,410,0,1,
400,0,0,,请让我给你戴上手铐,既然你问得这么好|（当她伸出双臂时，你把手铐锁在每只手腕上）,410,1,-1,
410,0,0,,交叉双臂|放在椅子后面,（她照做了，你把宽松的手铐锁在椅子的两侧）,420,0,0,LaurenCuffed()
