Tag,Content
Crop,（你打她的屁股时，她有点呜咽|但反应没那么强烈）
Rope,（你把绳子绕在她曲线优美的身体上|她似乎有点喜欢这样）
TwoRopes,（你拿起第二根绳子|把她的腿绑成跪姿）
Armbinder,（她的胳膊放不进那个小皮革单手套里）
Cuffs,（她似乎不喜欢手铐|但你还是将她的双手锁在了身后）
BallGag,（她有点挣扎|但你还是将口球塞进了她的嘴里并绑了起来）
TapeGag,（她有点挣扎|但你还是用胶带封住了她的嘴）
ClothGag,（她有点挣扎|但你还是把布条塞满了她的嘴巴，并系了起来）
CuffsKey,（她把手放好|这样你就可以轻松地解开她了）
VibratingEgg,（她盯着你将跳蛋塞了进去）
CannotWearBelt,（这条贞操带太小，不适合Julia）
CannotWearCollar,（教师不能带项圈）
RefuseBondage,（Julia看到并将其拒之门外|作为少女，您需要+5的顺从度才能使用它）
Orgasm,（她摇了摇头，但无法抗拒你狡猾的手指|在舞台上就达到了高潮）
QueenTurnTables,你在做什么？我是女王！|（她把你困住，用你的物品对付你）
AcceptRelease,你需要帮助吗？你的女王会帮忙的。|（她把你从束缚中解放出来）
FindRopes,（你在索具柜里找到并拿走了绳子）
