Tag,Content
SkipIntro,"Jennifer tě sice vidí,|ale nevšímá si tě a běží na tenisový kurt."
JenniferObey,"Dobře. Byla to tak pěkná obědová pauza,|že nemůžu odmítnout. Budu poslouchat!"
PlayerObey,"Dobře. Byla to moc pěkná obědová pauza.|Já budu šéfovat, pojď za mnou!"
Collar,"(Potřebuješ submisi alespoň +20 a speciální obřad,|abys mohla nasadit Jennifer obojek.)"
Rope,"(I když s tím viditelně nesouhlasí, použiješ|provaz a síť k vytvoření smyslné pavučiny.)"
Cuffs,(Spoutáš jí pouty ruce za jejími zády.|Připoutáš jí tím k tenisové síti.)
BallGag,"(Třese odmítavě hlavou, ale daří se ti|zatlačit jí kuličku do úst a zapnout popruhy.)"
TapeGag,"(Snaží se před tvýma rukama uhnout,|ale přesto jí zvládneš pevně zalepit ústa.)"
Uncuff,(Odemykáš jí pouta|a tím ji uvolňuješ od tenisové sítě.)
Crop,"(Kňourá, zatímco jí pěkně tvrdě šviháš.|Nevypadá, že by si to užívala.)"
VibratingEgg,"(Snaží se vajíčko do sebe nepustit,|ale přesto se ti ho podaří do ní vsunout.)"
VibratingEggFail,(Vrtí odmítavě hlavou|a odstrkuje vibrační vajíčko pryč.)
Spank,"(Zmítá se v zajetí, zatímco|jí pořádně vyplácíš na zadek.)"
MasturbateOrgasm,"(Snaží se ovládat, ale náhle nad sebou|ztrácí kontrolu a dostává nádherný orgasmus.)"
MasturbateEgg,"(Láskyplně ji dráždíš,|zatímco ona se třese a tiše sténá.)"
MasturbateNoEgg,"(Láskyplně ji dráždíš, ale vypadá to,|že není ve správné náladě.)"
LeaveBoundAndGagged,"(Opravdu ji chceš opustit spoutanou|a s roubíkem? Pokud ano, klikni znovu.)"
Count1,Jedna!
Count2,Dvě!
Count3,Tři!
Count4,Čtyři!
Count5,Pět!
Count6,Šest!
Count7,Sedm!
Count8,Osm!
Count9,Devět!
Count10,Deset!
PushUpQuality0,Tenhle klik byl hrozný!
PushUpQuality1,Dokážeš to i líp!
PushUpQuality2,Nevzdávej to! Ty to dokážeš!
PushUpQuality3,"Jde ti to skvěle, jen tak dál!"
PushUpSuccess,Zvládlas to! To bylo skvělé!|(Vstáváš a oprašuješ si sukni.)
PushUpFail,"Zvládlas to, ale bylo to dost mizerné.|Za to si zasloužíš potrestat."
StopRacket,To stačí. Tvůj zadek je už červený až až.|Tak co? Byl tvůj trest férový?
ReleaseRacket,(Naposledy švihne a pouští tě.)|Tak co? Byl tvůj trest férový?
