Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_ActorIsOwner,小姐，你在想什么？,不是我的奴隶，我在复习笔记|（她复习和研究她的学校笔记）,0,0,0,RandomAmandaDommeEvent()
0,0,0,Common_ActorIsOwner,主人，我换衣服可以吗？,当然，你可以穿任何你想穿的衣服，我的宝贝,0,0,0,IsChangingBlocked()
0,5,0,!Common_ActorIsLover,Amanda，你看起来真漂亮,谢谢，我也喜欢你的长相|（你需要+20的爱才能和Amanda约会）,0,0,0,TestLove()
0,0,0,,我们需要谈谈,你想谈些什么？,0,0,0,TestTalk()
0,0,5,IsRestrained,你真的很喜欢被拘束|不是吗，姑娘？,（她眨眨眼）我永远不会承认，小姐。|（你需要+20才能给Amanda戴上项圈）,0,0,0,TestDomme()
0,0,-5,!Common_ActorIsOwner,Amanda小姐|我很佩服你,你这么说真是受宠若惊|（你需要-20的顺从度才能提交给Amanda）,0,0,0,TestSub()
0,0,0,Common_PlayerGagged,@天哪！,让我去拿我的英语词典。（她放声大笑）,0,0,0,TestUnbind()
0,0,0,Common_ActorIsOwner,（哼一首性感的歌|跳舞取乐）,现在不是我的奴隶，我在复习笔记|（她复习和研究她的学校笔记）,0,0,0,RandomAmandaDommeEvent()
0,0,0,Common_PlayerRestrained,（在束缚中挣扎）,你不会很快出来的|我喜欢看你挣扎,0,0,0,TestUnbind()
0,0,0,!Common_ActorIsOwner,你应该换件衣服,我更喜欢这样,0,0,0,TestChange()
0,0,0,SexAvail,你想和我做爱吗？,你很直接。不，我会过去的。|我们做点别的，好吗？,0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,我的奴隶|你要怎么取悦我,你高兴吗，主人|（她好奇地看了你一眼）,630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,（和她一起玩）,（你向她迈出了一步）,10,0,0,
10,5,0,!Common_PlayerGagged,（吻她）,（你靠近她，亲吻她的嘴唇，而她则默默地呻吟）,10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,（挠她一下）,（你靠近她，挠她的胸口|当她大笑时，她似乎很享受）,10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,（打她）,（你狠狠地打了她屁股，她却因疼痛而呜咽）,10,0,0,Spank()
10,0,0,CanMasturbate,（抚摸她的阴部）,（你伸手靠近她的私处，但她把你推开了）,10,0,0,StartMasturbate()
10,0,0,IsGagged,（解开她的口塞）,（你慢慢地移开她的嘴）|这个嘴真的很有效,10,0,0,Ungag()
10,0,0,IsRoped,（解开她的绳子）,（你解开绳结，解开绳子，让她开心地伸展）,10,0,0,Untie()
10,0,0,IsStrapped,（解开单手套）,（你解开带子，把单手套从她胳膊上解开）,10,0,0,Untie()
10,0,0,,（停止玩弄）,（你后退一步）,0,0,0,
20,0,0,Common_ActorIsOwned,让我们复习一下你的规则,哦，我的上帝。是的，主人,610,0,0,
20,0,0,ChatAvail,我想更多地了解你,很公平，你想了解我什么？,500,0,0,StartChat()
20,0,0,DateSarahAvail,你和Sarah之间|有什么事吗？,对...不……我想除了她，大家都知道|我非常爱她，但我不能向她承认,120,0,0,
20,0,0,DatingSarah,你想和Sarah|一起用我的床吗？,（她脸红了一点）不，谢谢|稍后我们会在家玩得开心,20,0,0,TestBedSarah()
20,0,0,CuffsGameAvail,你想和我一起|试试手铐挑战吗？,你们俩都咯咯地笑着|你很轻松的把手铐锁在她的手腕上,0,0,0,CuffsGame()
20,0,0,Common_PlayerChaste,你能帮我拿这条贞操带吗？,我帮不了你|我没有钥匙,0,0,0,
20,0,0,Common_ActorIsLover,关于我们的关系。。,是的，亲爱的|（她看起来很紧张）,190,0,0,
20,0,0,,你该离开我家了,你要把我赶出宿舍？,790,-1,1,
20,0,0,,不要介意,很好。你想做什么？,0,0,0,
100,0,0,,你有爱人吗？,我确实……我的意思是我没有……|我没有亲人,110,0,0,TestRelationship()
100,0,0,,你有男朋友吗？,一个女孩...一个男孩...男朋友|不，我没有男朋友,110,0,0,TestRelationship()
100,0,0,,你有女朋友吗？,我确实……我的意思是我没有……|我没有女朋友,110,0,0,TestRelationship()
105,0,0,,是的，我很幸运,是的，你很幸运。要是她能理解|她对我意味着什么就好了,107,0,0,
105,0,0,,你会找到人的,也许我会。要是她能理解|她对我意味着什么就好了,107,0,0,
105,0,0,Common_ActorIsOwned,我宁愿和你约会,主人，你可以和她分手|如果你在约会，我们不能约会,106,0,0,
105,0,0,!Common_ActorIsOwned,我宁愿和你约会,那就老实说，先分手吧|如果你在约会，我们不能约会,106,0,0,
106,0,0,,好的，我会的,太棒了完成后告诉我,0,0,0,
106,0,0,,我会考虑的,很好。完成后告诉我,0,0,0,
106,0,0,,我不能那么做,没关系，我想我明白了|让我们谈谈别的事情,0,0,0,
107,0,0,,你在说谁？,（她脸红了，低下头）Sarah|我非常爱她，但我不能告诉她,120,0,0,
107,0,0,,谁？Sarah？,（她脸红了，低下头）是的|我非常爱她，但我不能告诉她,120,0,0,
107,0,0,,你恋爱了吗？,（她点了点头，往下看）是的，和Sarah在一起|我非常爱她，但我不能告诉她,120,0,0,
110,0,0,,你看起来很困惑,是的，我有点犹豫|我盯着Sarah已经很久了，但今天我见到了你,111,0,0,
110,0,0,,你有心仪的人了？,是的，我盯着Sarah已经很久了，但今天我见到了你,111,0,0,
110,0,0,,解释一下,（她看着你）|我盯着Sarah已经很久了，但今天我见到了你,111,0,0,
110,0,0,,（点头并听）,（她看着你）|我盯着Sarah已经很久了，但今天我见到了你,111,0,0,
110,0,0,Common_ActorIsOwner,听到那个主人的话|我很惊讶,是的，我的乖女孩|我盯着Sarah已经很久了，但今天我见到了你,111,0,0,
111,0,0,,所以你爱我们俩？,是的，我确实爱你们俩|我不知道该怎么办,112,0,0,
111,0,0,,你需要下定决心,我知道。我不能同时爱你们两个|我真的不知道该怎么办,112,0,0,
111,0,0,,倾听你的内心,我知道。我不能同时爱你们两个|我真的不知道该怎么办,112,0,0,
112,0,0,,Amanda，亲我一下|（试着吻她）,（你吻了吻她的嘴唇，让她大吃一惊）|你真是太可爱了,130,0,0,
112,0,0,,我也爱你,你真是太棒了，COMMON_PLAYERNAME,130,0,0,
112,0,0,,约会Sarah。告诉她你爱她,我以前试过。相信我。|但从来没有好时机,121,0,0,
112,0,0,,闭嘴，去见Sarah,我试着和她约会，但我不能告诉她|从来没有一个好时机,121,0,0,
112,0,0,,保持单身,也许这是最好的计划|我还年轻，没必要着急,0,0,0,
120,0,0,,你为什么不能告诉她？,我以前试过。相信我。|但从来没有好时机,121,0,0,
120,0,0,,告诉她！,我以前试过。相信我。|但从来没有好时机,121,0,0,
120,0,0,,忘了她吧,我知道...我不能…对不起|让我们谈谈别的事情,0,0,0,
121,0,0,!SarahAvail,如果我创造出那个|完美的机会呢？,你会为我这样做吗|为了我们？你的计划是什么？,122,0,0,
121,0,0,!SarahAvail,去创造机会！,我该怎么做|你会怎么做？,122,0,0,
121,0,0,SarahAvail,如果我创造出那个|完美的机会呢？,你会为我这样做吗|为了我们？你的计划是什么？,124,0,0,
121,0,0,SarahAvail,创造那一刻！,我该怎么做|你会怎么做？,124,0,0,
121,0,0,,你没希望了,我知道...我绝望了...对不起|让我们谈谈别的事情,0,0,0,
122,0,0,,我先请她来,（她颤抖着，呼吸加快了）|你会那样做吗？哇！我等不及了,123,0,0,
122,0,0,,我会把她带进来的,（她颤抖着，呼吸加快了）|你会那样做吗？哇！我等不及了,123,0,0,
122,0,0,Common_ActorIsOwned,我要把你们俩铐在一起,（她颤抖着，呼吸加快了）|你会那样做吗？哇！我等不及了,123,0,0,
122,0,0,,我会想出一个计划,太棒了如果你找到一个好的计划，请告诉我,123,0,0,
122,0,0,,你没希望的,（她叹了口气）也许你是对的|让我们谈谈别的事情,0,0,0,
123,0,0,,我会让它发生,谢谢！慢慢来，把事情做好|你现在想做什么？,0,0,0,
123,0,0,,这可能需要一段时间,当然。慢慢来，把事情做好|你现在想做什么？,0,0,0,
124,0,0,,这很容易。嘿，Sarah|Amanda想谈谈,（Sarah走近了，Amanda脸红了）|Sarah，我有件事想告诉你,800,1,0,StartDatingSarah()
