Tag,Content
SecondRope,"(Vážeš jí kolem nohou další provazy|a pevně je utahuješ, což jí nutí zůstat v kleče.)"
FirstRope,(Omotáváš jí provaz kolem těla a ona při tom|hravě testuje tvou dovednost ve vázání.)
Cuffs,"(Šťastně přikyvuje, zatímco jí tiskneš|ruce za zády a poutáš je želízky.)"
BallGag,"(Nakloní svou hlavu blíž,|abys jí mohla snáz nasadit roubík.)"
TapeGag,"(Nakloní svou hlavu blíž,|abys jí mohla snáz nasadit roubík.)"
Uncuff,"(Hravě ti uhýbá, abys měla potíže jí pouta sundat,|ale nakonec se ti to přeci jen podaří.)"
Crop,"(Rychle ji šviháš bičíkem přes prsa,|zatímco ona křičí, zdá se že rozkoší.)"
VibratingEgg,"(Když vidí vajíčko, přikývne a roztáhne nohy,|abys ho mohla snáze zasunout.)"
Collar,(Pro nasazení obojku Sáře potřebuješ|submisi +20 nebo větší a speciální obřad.)
BackFromRestroom,(Sára se konečně vrací z toalety a sedá si.)
OpenRestroomDoor,"(Sára otevírá dveře a pouští tě dovnitř.)|Pojď dál, pojď dál! Co se děje?"
Orgasm,(Obě vybuchujete v nádherném orgasmu|téměř v tu samou chvíli.)
LeaveBoundAndGagged,"(Opravdu ji tu chceš opustit svázanou a s roubíkem?|Klikni znovu, pokud ano.)"
