Tag,Content
BoundAgain,看来有人想窥探|你准备好成为我的奴隶了吗？
EscapeKidnap,（你设法挣脱了Erica的控制）|你这次逃跑了，如果你回来，我就绑架你。
EarnKeep,看起来你不是什么抢手货|你得另找方法来证明自己的价值
LooseClothGag,（你现在可以感觉到布料变松了。|再松一点，它应该会掉下来）
ChangeGag,看来你不喜欢那个布塞|试试这个（Erica给你塞了一个口球）
RubBallGag,（这样一点用没有，口球的束带完全没有松动的痕迹）
NuzzleBallGag,哇，你流口水到我腿上了。坏奴隶。
EricaPleasureOrgasm,啊啊啊…!!（Erica一边将你的头按在她身上|一边享受着甜蜜的高潮，享受之后才让你抬起头来）
StopPleasure,哼，你是个没用的奴隶|（她把你拉了起来）
LetOut,（她拉着你的绳子让你靠近些）|奴隶，你怎么了？
Free,好吧，你不是个好的调教对象|（她解开你腿上的绳子）
Freeish,作为奴隶，你一文不值|（她拿走了你的肛塞和腿绳）
PleasurePlayer,小可爱~我也许会考虑一下的|（她又把你的嘴堵起来了）
ChangeEgg,看起来你已经有了一个玩具，试试这个吧。（她改变了你阴道里的跳蛋）
PullGood1,（你设法拉动胯绳。再加上震动的跳蛋，这非常令人愉快）
PullGood2,（你不停地拉胯绳，|感觉更兴奋了）
PullGood3,（这开始感觉真的很好。|哦，再多一点）
PullGood4,（你把自己推到边缘，有一个舒缓的性高潮，然后静静地呻吟着）
PullGood5,（感觉还不错）
PullFrustrating2,（你一直在拉绳子，但还不够。|这个跳蛋的动力太小了，令人沮丧）
PullFrustrating3,你喜欢我的特制跳蛋吗？我有一些是为了戏弄和惩罚像你这样的奴隶而做的。
PullFrustrating4,（没用的。跳蛋那令人恼火的温和振动|只是嘲笑任何试图放松自己的尝试）
UnbrokenLetGo,（你放了Erica后她在一旁小声的骂到）|竟然敢这样对我，实在是胆大包天
EricaSubdued,（Erica疲惫地看着你。她不会再打扰你了，但你最好别管她）
HumiliatedUngag,求你了，我保证我再也不会想|让你做我的奴隶了，放我走吧。
HumiliatedMasturbate,（当你继续按摩她的阴蒂时，她静静地呻吟着颤抖着）
HumiliatedSpank,（每个乳房都被你打了一巴掌|Erica痛苦而羞愧地哀嚎着）
HumiliatedNipples,（当你按摩她的乳房和玩弄乳头时，她羞愧地呜咽着）
HumiliatedKey,你已经夺走了我的名誉和尊严|我不能让你拿走我仅剩的东西。
HumiliatedBroken,我再也受不了了，请放我走|我保证不会再打扰你了。
HumiliatedBrokenGagged,（Erica可怜地呜咽着，拼命地拉着束缚她的绳子）
NotBrokenGagged,（Erica愤怒地咕哝着）
HumiliatedBlindfold,（她平静地接受了眼罩）
HumiliatedBallGag,（她张大嘴巴去咬口球，弓着头，而你则扣上束带）
HumiliatedClothGag,（她张大嘴巴，让你将布团填满嘴巴并系好）
HumiliatedTapeGag,（她闭上嘴巴抿着唇，接受了胶带）
HumiliatedCollar,（Erica已经彻底被羞辱了，她崩溃了，当你在这里打滚时，她开始呜咽起来）
EricaMasturbateOrgasm,（她失去了镇静，被你的抚摸弄得喘不过气来）
HumiliationCrop,（当你用鞭子抽打她裸露的屁股时，她可怜地大叫起来）
SlaveEgg,请停下来，你只是在折磨我，Erica在给我|戴上这条贞操带之前给了我一个特殊的跳蛋
SlaveMmmph,嗯（她翻了个白眼）
SlavePleaseGag,等等，你最好让我闭嘴，请照做。|（你耸耸肩，堵住她的嘴。你现在和谁玩？）
Collar,（你把项圈扣在她的脖子上，并用铁链拴住|只要戴着项圈，她就逃不掉）
Crop,（当你切开她裸露的臀部时|她哼了一声，试图抑制疼痛）
Rope,（你开始束缚Erica，剥去她的衣服|用很多绳子把她固定住）
Cuffs,（你给她戴上手铐，但她仍然很狂野|他们可能不足以把她俘虏）
BallGag,（她咬牙切齿，最终为了堵住她的嘴付出了很大的努力）
TapeGag,（她用力摇头，但最终|你设法将她的头按住，把胶布贴在了嘴上）
ClothGag,（她咬牙切齿，最终为了堵住她的嘴付出了很大的努力）
VibratingEgg,（她无法抗拒你把一个震动的跳蛋推到她身上）
InsufficientRestraint,（Erica反抗，但还不够克制，你无法强迫她）
Blindfold,（你给她戴上眼罩。|她仍然试图对你皱眉头）
