Tag,Content
FirstRope,（太石头或太被你迷住了。|她让你给她套上一条完整的绳索）
SecondRope,（你脱下她的靴子，用第二根绳子紧紧地绕着她的腿）
Cuffs,（她漫不经心地盯着袖口，而你却轻而易举地在她背后扣上了）
BallGag,（她皱着眉头看着BallGag，但当你把它绑在她头上时，她并没有抵抗太多）
TapeGag,（你在她嘴上贴胶带时，她漫不经心地看着你）
Uncuff,（你解开她身上的手铐，她慢慢地把手放回面前）
Crop,（当你用作物打她时，她有点呻吟，但似乎并不介意）
VibratingEgg,（她几乎没有注意到你把卵子滑进她的阴道，但开始随机呻吟）
Collar,（你需要+20或更高的顺从度以及一个|特殊的仪式来给Sindey戴上这个表示服从的项圈）
Extortion,（Sidney回来嘲笑你）|那么，当我要钱的时候，你会怎么做？
InviteWeed,是的！吃肉不会出错的|我要抽些大麻，你来吗？
StripLove,（你们一边微笑，一边慢慢解开她的衬衫扣子，脱下她的裙子）
StripSub,（你把她靠在墙上，同时解开她的衬衫扣子，脱下她的裙子）
MasturbateLove,（当她闭上眼睛呻吟时，你弯下腰轻轻地自慰）
MasturbateSub,（你把她靠在墙上自慰|她很快就会高兴地呻吟）
ReadyForOrgasm,（她开始呼吸，呻吟得很快。她似乎非常接近高潮）
LeaveBoundAndGagged,（你真的想抛弃她吗？再次单击即可）
