Tag,Content
AlreadyCuffed,既然你已经戴上了手铐|你可以自己试试，我会告诉你怎么戴的。
KinkyClip,当然|（她伸手到你裙子下面，把夹子扣在你内裤的贞操带上）
Fail0,（发夹卡在手铐里，Lauren把它拔了出来）|再试一次，不要像上次一样把夹子乱塞。
Fail1,（你笨手笨脚地把发夹掉了）|真是笨手笨脚，再来一个。
BallGag,（她不情愿地接受了球塞|你把它牢牢地绑在她嘴里）
TapeGag,（她不情愿地闭上嘴，接受了胶带，你用胶带把她封住）
ClothGag,（她不情愿地张开嘴，拿起那团布，你把它牢牢地绑好）
MuffledDetermination,（她摇摇头，一直试图单手折断发夹）
AskLetGo,你应该放我走。
AskEnjoy,我想我们可以享受这种情况。
AskBeGentle,我不确定，请温柔一点。
AskWhatever,随你喜欢。
AskUnsure,我不知道|这是错误的，但感觉很好。
AskGag,（她嘴里咕哝着什么）
LikeGrope,（当你挤压和按摩她缎面覆盖的乳房时|她喘着粗气，静静地呻吟着）
GropeGag,（她似乎很生气）|Whnt thht'f fhr thh rhhgh. Fthp Hmt.
LikeNipples,哦，请温柔点。
LikeNipplesGag,（她呻吟着）拜托。
NipplesGag,（Lauren尖叫道）。
LikeKiss,（你吻了她的嘴唇|她有点吃惊，但也和你吻在了一起）
GagKiss,（你亲吻她的胸部，她退缩了）
LikeGagKiss,（你亲吻她的胸部，她轻轻地呻吟着）
SubGagKiss,（你亲吻她裸露的胯部。|她退缩了一下，摇了摇头）
LoveSubGagKiss,（你亲吻她裸露的胯部|她呻吟着着慢慢点了点头）
LikeCaress,（她喜欢你温柔的抚摸，轻轻地呻吟）
LikeSlap,噢，请温柔点。
LikeSlapGag,（她哽咽着说）
SlapGag,（她哽咽着哀嚎）|呜呜呜...!恩..?
LikeRub,（她呼吸急促）|这是一个相当敏感的区域。
LikeRubGag,（她呼吸急促，哽咽着）
RubGag,（她愤怒地哼了一声）|不要抱怨。
LikeMasturbate,（她呼吸急促，轻声呻吟）
LikeMasturbateGag,（她呼吸急促，对着口球轻声呻吟）
MasturbateGag,（她对着笑声尖叫起来）|Hgh whht thm hmll dh nhh thnng nhh hrm dhnng? 
LaurenOrgasm,（她在束缚中颤抖，咬着嘴唇|以抑制高潮时的呻吟）
LaurenOrgasmGag,（她在束缚中颤抖，呕吐声令人窒息|她达到高潮时发出呻吟）
LaurenOrgasmRep,（她无助地颤抖着，静静地哀嚎着，|在快乐和屈辱之间挣扎）
Bullied,（Lauren奋力挣脱束缚，开始哭泣|有人把手放在你的肩膀上）
ShakesHead,（她摇了摇头）
LoveIt,这很有趣，也许下次吧|（她又回去教Nicole了）
SubIt,是的，我想|（她又回去教Nicole了）
OrgasmIt,（她脸红得更亮了，静静地点了点头。|然后又回去教Nicole了）
LoveAgain,当然，但不是现在|（她又回去教Nicole了）
SubAgain,是的，但请不要现在|（她又回去教Nicole了）
OrgasmAgain,（她脸红得更红了）|请不要在学院里这样（她又回去教Nicole了）
LuarenReturned,（Lauren回来了）我在俱乐部里问过，|他们说你是个很变态的女孩？
LaurenRevengeNod,这解释了许多事情，Cassidy之前提过|你更喜欢被动接受而不是主动付出
LaurenRevengeShake,在你刚刚对我做了什么之后|让我们看看你现在喜欢它。
Intimate1,（她试探性地摸了摸你的阴部）
Intimate2,（她轻轻地戳你的阴蒂）
Intimate3,（她开始慢慢地抚摸你|用内裤蹭你的阴部）
Intimate4,（她加大了幅度和力度）
Intimate5,这很有趣。我应该继续吗？
DislikeNod,不，我只是不喜欢这个|（她起身走开，留下你悬而未决）
SubShake,好吧，我会找出答案的|（她拉下你的内裤）
LikeShake,哦，得了吧，只有一种方法可以找到答案|（她拉下你的内裤）
RevengeNod2,没错，你确实更喜欢吃。|（她拉下你的内裤）
RevengeShake2,你之前没有给我选择|（她拉下你的内裤）
Intimate6,你是不是给你的阴部打蜡了？！|（她摩擦你光滑的阴部）
Intimate7,（她开始把两根手指伸进你的阴道）|你感到紧张，试着放松
Intimate8,（她反复地把手指在你的阴部抽插着）
IntimateDenial,（她突然抽了出来）我想现在已经够了|（她拉起你的内裤，离开了你）
IntimateOrgasm,（她一只手挑逗你的阴蒂|而另一只手用力抽插着，给你带来了美妙的高潮）
IntimateProlong,（Lauren一直在抚摸你|延长你无助的狂喜）
IntimateSubside,（她停止抚摸，高潮消退了）|我想知道？（你感觉到一根手指压在你的肛门上）
AnalRefuse,我开玩笑的，我只是想让你幻想一下|（她拉起你的内裤走开了）
Intimate12,（她继续用手指在你的阴道和屁股里一起工作）
Intimate13,（你再次高潮，带着愉悦和痛苦的高潮）
Intimate14,我现在需要去洗手|（Lauren缩回手指，拉起你的内裤，走开了）
OBreak,（筋疲力尽，你很难摆脱枷锁）
OClip,（只是找一个夹子藏在哪里就已经用尽所有力气了|你轻轻地摇晃着）
OCall,（现在被堵住嘴的你，几乎没有一丝微弱的哀嚎声）
