Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,这是怎么一回事？,这是关于这个俱乐部的，也是关于Natalie的。,10,0,0,
1234,0,0,,（通往俱乐部的捷径|仅供开发之用）,,80,0,0,ShortCut()
0,0,0,,放心，我是老司机|ヾ(•ω•`)o,我们拭目以待，我指的是俱乐部和Natalie。,10,-1,0,
0,0,0,,别费心解释了，|这一切都很明显。,那我就让你自己解决了。,70,-1,0,SkipExplanation()
5,0,0,,你好，这里发生什么事了？,这是学院的Kinbaku俱乐部|欢迎您今晚留下来。,15,0,0,
5000,0,0,,（通往俱乐部的捷径|仅供开发之用）,,80,0,0,ShortCut()
10,0,0,,俱乐部有问题吗？,没问题，但我认为Natalie|没向你解释太多关于俱乐部的事情。,30,0,0,
10,0,0,,Natalie在吗？|我想再见见她,目前没在。她和另一位会员打赌输了|但应该晚些时候到。,20,1,0,Asked()
15,0,0,,听起来很有趣，|是的，我会留下来。,太好了。我是Jenna。,25,1,0,
15,0,0,,对不起，我得走了。,来吧，待一会儿，你可能会喜欢的。|顺便说一句，我叫Jenna。,25,0,0,
15,0,0,Natalie,Natalie提到了这个地方。,啊，是的，Natalie，她稍后会来|我是另一位俱乐部代表，Jenna,25,0,0,Asked()
20,0,0,,那么，俱乐部是怎么回事？,只是Natalie在午餐时间没有解释太多关于俱乐部的事情。,30,0,0,
20,0,0,,打赌？她还好吗？,她很好。赌注是找到一个新成员|但她忘了关于适当解释的重要部分。,30,0,0,
25,0,0,,我是COMMON_PLAYERNAME。,太酷了！我应该解释一下这个俱乐部。,30,0,0,
25,0,0,,我的名字是COMMON_PLAYERNAME|很高兴认识你。,你太正式了，很可爱|不过，我必须先解释几件事。,30,0,-1,
30,0,0,,有什么需要解释的？,首先，学校认为这个俱乐部是关于|“文化艺术形式、实践技能和锻炼”的。,40,0,0,
30,0,0,,你不用多费口舌|我都了解的,好吧，我得走了|（Jenna离开了房间）,80,-1,1,Done()
30,0,0,,我以前来过|Kinbaku俱乐部,我想你已经知道诀窍了|说到这里，有一根免费的绳子。,70,0,0,GetRope()
40,0,0,,说真的？,是的，正式地说，一些老师更了解|而且，Kinbaku不仅仅只有绳子。,50,0,0,
50,0,0,,什么意思？,俱乐部非常包容，我们使用各种各样的设备和技术。,55,0,0,
55,0,0,,事情进展顺利吗？,不，有标准和共识。俱乐部|会在内部惩罚那些过分的人,56,0,0,
56,0,0,,我同意，你们都是自愿|加入了俱乐部的吗？,没错，我们还会使用如“香蕉”之类的|安全词确保每个人都能很好的享受过程。,60,0,0,
60,0,0,,就这些吗？,差不多，Natalie本可以让我省去很多麻烦|哦，还有一根免费的绳子。,70,0,0,GetRope()
70,0,0,,免费赠送的绳子|是干什么用的？,说真的？大胆猜测一下。,70,0,0,
70,0,0,,我现在该怎么办？,稍后将有一场友谊赛。在那之前，你可以了解俱乐部|（她走了）,80,0,0,Done()
70,0,0,,我现在可以被绑起来吗？,当然，但我更喜欢使用钢制束缚装置|（她给你戴上手铐堵住你的嘴，确保你没有钥匙后离开）,80,0,-1,CuffPlayer()
70,0,0,,我现在可以把你绑起来吗？,不，我现在还有其他人要见|（Jenna离开了房间）,80,0,0,Done()
70,0,0,NotAsked,哦，Natalie怎么了？,她和另一位会员打赌输了，|但稍后会来。,70,-1,0,Asked()
70,0,0,Concerned,麻烦？我希望|Natalie没事。,别担心，她会没事的|只要有人被绑住，她通常都很开心。,70,1,0,ShowConcern()
70,0,0,Chloe,Chloe在吗？,如果有选择的话，她会一直被束缚|我已经告诉她今晚不要去。,75,0,0,
75,0,0,,我很想把她捆起来。,我已经告诉整个俱乐部|她们不能把她绑起来，你也一样。,70,0,0,AskChloe()
75,0,0,,她为什么需要晚上休息？,我担心她太顺从了|在俱乐部里没关系，但她总有一天会长大的。,70,0,0,AskChloe()
100,0,0,,我现在做了什么？,你告诉我，除了辱骂我的朋友|让她无助地被束缚和塞住嘴。,110,0,0,
100,0,0,,那又怎么样？越过我|下一个就是你。,甚至不要去那里|你刚刚走进龙的巢穴。,110,-1,0,
100,0,0,,我的婊子也去哪儿了？,我的朋友在你对她做了什么之后正在康复。,110,-2,0,
100,0,0,,对不起|我不是故意走那么远的。,Natalie出事后，仅仅说对不起无济于事。,110,0,-1,
110,0,0,,她怎么了？,她的下一节课是数学，后来她被愤怒的Mildred发现了。,120,0,0,
110,0,0,,你迟早会找到她的。,要是她错过了一节数学课就被Mildred发现就好了。,120,-1,0,
120,0,0,,我能见见Natalie吗|我想补偿她。,不是现在，但你可以开始补偿她。,130,1,-1,
120,0,0,,顺便说一句，我要和|这个俱乐部亲密接触。,不，他们会先和你亲密接触。,130,-1,0,
120,0,0,,那只是个笑话，|她会克服的。,我相信你会毫不费力地忘掉这个恶作剧的。,130,0,0,
130,0,0,,等等|我们能不能谈谈这个。,,130,0,-1,Discipline()
130,0,0,,真的很抱歉，|我现在就走。,,130,0,-1,Discipline()
130,0,0,,来吧，我把你们都带走。,,130,-1,1,Discipline()
