Tag,Content
SecondRope,（你在腿上加了更多的绳子，|把它们捆得很紧，迫使她跪下）
FirstRope,（你把绳子绕在她身上，|她高兴的配合着你的绳技）
Cuffs,（她高兴地点点头，而你把她的|手推到她身后，铐上）
BallGag,（她把头靠得更近，努力张开嘴，|让你更容易堵住她的嘴）
TapeGag,（她把头靠得更近，将嘴巴闭紧，|让你更容封住她的嘴）
Uncuff,（她开玩笑地晃动着，让你更难|解开她的手铐，但你还是解开了）
Crop,（你用鞭子飞快地抽打她的乳房，|而她似乎高兴得尖叫起来）
VibratingEgg,（她看到跳蛋的时候兴奋地点了点头，|然后张开腿，这样你就可以轻松的把它塞进去了）
Collar,（你需要+20或更高的顺从度以及一个|特殊的仪式来给Sarah戴上这个表示服从的项圈）
BackFromRestroom,（Sarah终于从洗手间回来坐下了）
OpenRestroomDoor,（Sarah打开门让你进去）|进来，进来！为什么这么着急？
Orgasm,（你们几乎同时爆发出美妙的高潮）
LeaveBoundAndGagged,（你真的要将她抛弃在这里吗？再次单击即可）
