Tag,Content
EventNaked,3000
EventUnderwear,3010
EventSchoolUniform,3020
EventBlackDress,3030
EventWhiteLingerie,3040
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventBondageHug,3170
EventTickle,3200
EventMasturbate,3220
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentSpanked,3930
PunishmentSleepBoundAndGagged,3940
GaggedAnswer1,没什么！
GaggedAnswer2,（她咕哝着什么，咯咯地笑了起来）
GaggedAnswer3,Eeeph！
GaggedAnswer4,（她好奇地看了你一眼）
GaggedAnswer5,（她低下头，保持沉默）
GaggedAnswer6,我是个疯子。
GaggedAnswer7,天哪。
GaggedAnswer8,嗯！（她努力控制住了笑点）
AlreadyOwned,通过训练和纪律，这是可能的|但你需要问你的主人。
UnrestrainFirst,你能先帮我吗？
UnchasteFirst,你能先帮我拿贞操带吗？
PlayerUncollarFirst,通过训练和纪律，这是可能的|但首先你需要摘下这个领子。
PlayerUnrestrainFirst,通过训练和纪律，这是可能的|但首先，你需要摆脱这些限制。
GetOnYourKnees,好吧，我可以把你当作我的顺从|首先，你需要跪下来。
ReleasePlayer,来，让我来帮你|（她放了你）
ReleasePlayerGagged,哦，妈妈|（她放了你）
ReleasePlayerFromBondageHug,（她点点头）让我来帮你，我的顺从|（她放开你，回到她的笔记上）
CannotReleasePlayer,（她挣扎着克制自己，耸耸肩）
ActivityEndGood,够了。太棒了|请理解，我随时都可以做到。
ActivityEndFair,够了。这很有趣|请理解，我随时都可以做到。
ActivityEndBad,够了。这不是我想的|请理解，我随时都可以做到。
MasturbatePlayerOrgasm,当然，我的奴隶，你可以放心了|（她深情地自慰，让你达到高潮）
ChangingIsBlocked,不，我的奴隶，你不能换衣服。
ReleaseBeforePunishNotNaked,（她放开你，审视你）|我的奴隶，你现在要赤身裸体了。
ReleaseBeforePunishAlreadyNaked,（她释放你，审视你）|我的奴隶，你的惩罚可以开始了。
PunishSinceNaked,既然你已经赤身裸体了，|你的惩罚就可以开始了。
StillGrounded,（Amanda不理你，只是复习她的笔记。|你需要等一下，你还是被禁足了）
StillGroundedByOther,对不起，我帮不了你。规则就是规则|（你需要等待，你仍然被禁足）
CantFindRestrain,（她检查了你的物品，但似乎没有找到她想要的东西）我的小奴太糟糕了。
CantFindRestrainForHug,（她搜查了你的物品，然后放弃了）|我不会约束你，但我仍然会拥抱你。
SpankPlayer1,（她轻轻打你屁股的时候，你在桌子前弯下腰）坚强点，我的奴隶。
SpankPlayer2,（她举起手，在另一个地方打你屁股）这是为了你好。
SpankPlayer3,（她把胳膊抬得很高，然后放下了|一只强壮的胳膊，疼得很厉害）忍耐。
SpankPlayer4,（她从另一边打你屁股，打了你屁股的新部位）我在乎你。
SpankPlayer5,（她打出了迄今为止最激烈的挥杆。狠狠地打了你一巴掌，把屁股都烫红了）
SpankPlayer6,（她又站在了另一边，在前一个区域打得相当糟糕）学会自律。
SpankPlayer7,（她挥得很快，出其不意地打你，让你大喊大叫）学会服从。
SpankPlayer8,（她抚摸着你的屁股，慢慢地打你的屁股）我为你感到骄傲。
SpankPlayer9,（她又站在了另一边，对前一个领域进行了非常猛烈的打击）了解你的排名。
SpankPlayer10,（她检查了你的红屁股，微笑着，再次击中了最糟糕的地方）学会遵守规则。
SpankPlayer11,（她抚摸着你的屁股，然后迅速松开，狠狠地打了你一顿）保持坚强。
SpankPlayer12,（她深吸一口气，狠狠地打了你一巴掌，让你哭了）好孩子。
Crop,（你用你的鞭子抽打她的屁股）|天哪！真的很疼。请不要那样做。
CropFromMistress,（你用你的鞭子抽打她的屁股）|主人。真的很疼。（她呜咽着）
CropWhileGagged,（你用你的鞭子抽打她的屁股|她呜咽着哭了一会儿）
RefuseBondage,（Amanda看到你的物品，把它往后推）|你觉得你在这里干什么？
TurnTables,（Amanda迅速转过桌子，用你的束缚来对付你）这真有趣！
TurnTablesFromMistress,所以，你在找麻烦，我的奴隶|（Amanda用你自己的束缚来对付你）
AcceptChange,很好。我该穿什么？
AcceptChangeFromLover,是的，亲爱的。你想看什么？
AcceptChangeFromMistress,是的，主人。我该穿什么？
NoNeedToChange,（她咯咯地笑了）这很容易。
Rope,（当你把绳子绕在她身上打紧结时，她脸红了，呻吟着）
TwoRopes,（你拿起第二根绳子绑住她的腿，迫使她跪下）
ThreeRopes,（你加了第三根绳子，把她的胳膊和腿连接起来，迫使她以一种尴尬的姿势坐着）
Armbinder,（她脸红了，慢慢地把手伸进单手套里，而你则把它系紧）
Cuffs,（当你抓住袖口并牢牢地束缚住它们时，她把手放回原处）
BallGag,（她不情愿地张开嘴，这样你就|可以把口球推进去，把束带绑起来）
TapeGag,（她不情愿地闭上了嘴，|这样你就可以用胶带封住她的嘴了）
ClothGag,（她不情愿地张开嘴，这样你就可以把|布团塞进去，然后把布团捆起来）
CuffsKey,（她看到钥匙，转过身来，这样你就可以给她开锁了）
VibratingEgg,（她看到跳蛋，似乎很紧张|你把它推进去时，她深吸了一口气）
ChastityBelt,（当她看到贞操带时，她吓坏了|但你可以在她呜咽时锁上它）
Collar,（你需要+20顺从度和一份完整的誓词来吸引她）
CollarToEnslave,（你需要一个项圈来奴役某人）
EnslaveAlreadyTried,我们已经讨论过了|小姐，你的项圈不适合我。
AcceptCollar,是的，小姐。我接受你的项圈|我将是你忠诚的顺从者。
CannotActWhileRestrained,（她咯咯地笑着，在束缚中嬉戏地挣扎着）
CannotBeDoneWhileRestrained,（当你被约束时，你不能这样做）
NakedForBelt,（Amanda必须裸体才能把贞操带锁在身上）
OrgasmFromAmandaPleasure,（Amanda深情地将舌头伸进你的身体|让你在高潮中颤抖和呻吟）
PleasureFromAmandaNoProgress,（Amanda很难用言语取悦你|但没有合适的节奏来取悦你）
KissAmandaOwner,（你弯下膝盖，亲吻你主人的手）
KissAmandaGagged,（你亲吻她的嘴，她咯咯地笑）
KissAmandaSeduction,（你热情地吻了她，她一边慢慢呻吟，一边用法式长吻回应）
StartMasturbateAmanda,（你靠近Amanda，开始温柔地抚摸她）
ReadyForOrgasm,（她在高潮的边缘快速颤抖并大声呻吟）
MasturbateNotInTheMood,（你开始抚摸她，但很明显她没有心情）
ChangeAfterCollaring,我现在将控制你的性取向|（她变了）站起来，我的奴隶。
SpankWithStrength,（当她呜咽时，你用力打她的屁股）
ReleaseBeforeTalk,你能先放了我吗？
UnlockBeltBeforeSex,你能先解开贞操带吗？
CantDateWhileRestrained,如果我们需要认真谈谈，也许你应该放了我。
CantDateWhileNaked,如果我们需要认真谈谈，也许我们都应该穿好衣服。
StripForSecondRope,（如果她衣服少一点，你可以用第二根绳子）
DoubleTickling,（你们互相搔痒，她似乎很喜欢）
AlreadyLoved,我没有。但总有一天我会找到像你一样的爱|它一定在附近的某个地方。
AlreadyLovedBySarah,（她威胁地看了你一眼）我知道|你在和Sarah约会。我们不要谈论这个。
AlreadyDatingSarah,你不记得了吗？我爱上了Sarah|世界上最好、最可爱、最有趣、最金发的女孩。
AlreadyBrokeUp,我不想和你谈这个|我会把我的爱留给别人。
LoseCuffsGame,你们俩都咯咯地笑着|她很轻松的把手铐锁在你的手腕上。
SubEnjoyBondage,是的，主人。我不知道为什么|但当你约束我时，我很兴奋。
NoRestrainInCostume,（她需要脱下服装才能使用这个物品）
AcceptGoToBedWithSarah,我们现在可以用你的床吗|（他们面面相觑，咯咯地笑了起来）
RefuseSexForLover,对不起，我不能和你一起做|从现在开始，我将忠于Sarah。
StillGroundedGagged,（她看着你，沉默不语）
