Title,"Chat Room Customization"
Desc,"You can pick custom background images and background music for your room here by loading external resources. Note that players need to enable those customizations manually."
TitleMusicLibrary,This is a selection of copyright free music you can use.
BackgroundImageLabel,Custom background image:
BackgroundImageNote,"You can use game resources as well, like https://bondageprojects.com/images/school.jpg or Screens/Room/Platform/Background/Savannah/TentInterior.jpg"
BackgroundImageFillModeLabel,Select image fill mode:
BackgroundSizeModeFill,Fill the room
BackgroundSizeModeFillOriginalRatio,"Fill the room, original aspect ratio"
BackgroundSizeModeShowFullOriginalRatio,"Full image, original aspect ratio"
BackgroundFilterLabel,Color filter:
BackgroundFilterNote,"You can put a color filter that will go over your background.  For example, use #00000080 to dim the lights."
BackgroundMusicLabel,Custom music:
BackgroundMusicNote,Put the address of the background mp3 music file to use.
BackgroundMusicSync,Synchronize music track across the room
ResetButtonTooltip,Reset
OpenLibraryButtonTooltip,Library
PreviewButtonTooltip,Preview
ClearButtonTooltip,Clear All
SaveButtonTooltip,Save
CancelButtonTooltip,Cancel
Return,Return
MusicLibraryFantasyAmbience,Fantasy Ambience
MusicLibraryHorrorAmbience,Horror Ambience
MusicLibraryWesternAmbience,Western Ambience
MusicLibraryPop2020,Pop 2020
MusicLibraryPop2022,Pop 2022
MusicLibraryProgressiveHouse2022,Progressive House 2022
MusicLibraryMetalInstrumental2021,Metal Instrumental 2021
MusicLibraryElectroDance2022,Electro Dance 2022
MusicLibraryElectroDance2023,Electro Dance 2023
MusicLibraryElectroRoyKnox,Electro by Roy Knox
MusicLibraryDanceElectroPop,Dance Electro Pop
MusicLibraryDarkTechno,Dark Techno
