Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,是啊，你也一样吗？,我不是，今天似乎有很多新面孔。,10,0,1,
0,0,0,,是的，新的开始|会伴随新的机遇,太好了，我相信你会发现新大陆的。,10,1,0,
0,0,0,,没错，这里对我|来说是全新的领域,我们必须确保您对Kinbaku有一个适当的了解。,10,0,-1,
1234,0,0,,（仅限开发捷径）,,600,0,0,
10,0,0,,我是COMMON_PLAYERNAME|很高兴认识你，小姐,我是Amelia，这是Charlotte和双胞胎|Heather和Lucy，她们已经被束缚住了。,100,1,-1,Introduced()
10,0,0,,叫我COMMON_PLAYERNAME。,你可以叫我Amelia。这是Charlotte和双胞胎|Heather和Lucy，她们已经被束缚住了。,100,0,0,Introduced()
10,0,0,,COMMON_PLAYERNAME这是我的名字|一定要记住,好的。我是Amelia，这是Charlotte和双胞胎|Heather和Lucy，她们已经被束缚住了。,100,0,1,Introduced()
50,0,0,,你能帮帮我吗？,没问题~我帮你检查绳子是否牢固|（Amelia确保你的束缚非常紧密）,50,,,
50,0,0,,你知道一个被束缚|的女孩是什么样子吗,我知道，但不是每天都有|被束缚的可爱女孩向你展示自己,50,,,
50,0,0,,（给她展示你的束缚）,是的，它很适合你。,50,,,
50,0,0,PlayerOnlyGagged,（把口塞拿掉）,（Amelia给你穿上衣服，开始把你绑起来）|如果你被堵住了嘴，你就不应该把它拿掉。,50,,,PlayerTied()
100,0,0,,（与Amelia交谈）,（你想和Amelia谈谈什么？）,200,0,0,LoadAmelia()
100,0,0,,（与Charlotte交谈）,（你想和Charlotte谈谈什么？）,300,0,0,LoadCharlotte()
100,0,0,TwoTiedTwins,（去找最远的双胞胎）,她抬头看着你，示意你放了她。,400,0,0,LoadLeftTwin()
100,0,0,TwoTiedTwins,（去找最近的双胞胎）,她抬头看着你，示意你放了她。,450,0,0,LoadRightTwin()
100,0,0,RemainingTwin,（去找剩下的双胞胎）,她抬头看着你，示意你放了她。,400,0,0,LoadRemainingTwin()
100,0,0,LucyTied,（去找Lucy）,她抬头看着你，示意你放了她。,430,0,0,LoadLucy()
100,0,0,LucyFree,（与Lucy交谈）,嘿，你想再被捆起来吗？,600,0,0,LoadLucy()
110,0,0,,好吧，让我走。,好吧，只是不要太贪心|（她松开了你的手臂）,100,0,0,CanLeave()
110,0,0,,是的，小姐|我不会再试了。,太好了，太贪婪是不值得的|（她松开了你的手臂）,100,0,-1,CanLeave()
110,0,0,,试着阻止我。,（你松开Amelia的手）|如果你继续这样下去，我会的。,100,-1,0,TryStopMe()
120,0,0,,放开我。,不，你需要休息一下|（她强迫你穿过房间）,125,-1,0,
120,0,0,,我真的很抱歉|我不会再试了。,这次我会确保这一点|（她强迫你穿过房间）,125,0,-1,
120,1,2,,（挣脱她的手）,好吧，只是不要在这里再试一次。,100,-1,0,
125,0,0,,请放我走。,--,125,0,-1,PlayerLockedAway()
125,0,0,,好吧，别伤害我。,--,125,1,0,PlayerLockedAway()
125,0,0,,把你的手从我身上拿开。,--,125,-1,0,PlayerLockedAway()
200,0,0,Amelia210NotDone,你对Kinbaku了解很多吗？,我知道的很多让人绝望的紧缚方式,210,0,0,Amelia210Done()
200,0,0,Amelia220NotDone,为什么不把|Charlotte绑起来？,我早些时候试过的时候，她紧张得要命|直到我让她帮忙把双胞胎捆起来后，她才平静下来。,220,0,0,Amelia220Done()
200,0,0,Amelia230NotDone,那么，你更喜欢哪一种？|日式还是并肘？,两者都有各自的优势，不过我更喜欢|并肘，它可以很好的展示一个顺从者,230,0,0,Amelia230Done()
200,0,0,,我们来玩一下么？,可以，现在我要把你绑起来。,260,0,0,
200,0,0,Amelia250NotDone,Heather和Lucy，|这对双胞胎要怎么区分？,我们也不确定，所以在她们身上尝试了|不同的束缚风格，并给她们戴上了口塞,250,0,0,Amelia250Done()
200,0,0,AnyoneKnow,这里有人能把这|对双胞胎区分开吗？,Jenna似乎知道，但她不是来问的。,200,0,0,
200,0,0,UngagTwins,这对双胞胎|需要塞住嘴吗？,对。我们不需要听Heather分叉的舌头。,200,,,
200,0,0,InspectedTwins,为什么她们绑得|这么难受？,让Heather承认她是哪一个|来换取更舒适的束缚。,255,,,
200,0,0,,（检查小组的其他成员）,（Amelia正在告诉Charlotte关于Kinbaku的事）,100,0,0,
210,0,0,,甚至包括我？,甚至包括你。,200,0,0,
210,0,0,,所以你经常自缚？,我不是这个意思。,200,0,1,
210,0,0,HasRopeMastery,你夸夸其谈，但|我是个能说会道的高手。,这很好，但这只是捆绑还是逃跑？,215,1,0,
210,0,0,,你能把我捆起来吗？,当你准备好了，尽管开口，我会让你完全听天由命。,200,0,-1,
215,0,0,,我实际上还没能逃脱。,所以你已经掌握了顺从。,200,0,-1,
215,0,0,EscapedIsolationMildred,Mildred把我捆起来，我逃脱了。,令人印象深刻的是，你那样做一定惹她生气了|而且她不会惹麻烦的。,200,1,1,
215,0,0,EscapedIsolationYuki,Yuki把我捆起来了，我逃脱了。,令人印象深刻，但我|不希望Yuki只是把某人绑起来然后离开她们。,216,1,0,
215,0,0,,没有绳子能抓住我。,这是一个大胆的说法|转过身来，我们拭目以待。,218,0,0,
216,0,0,,我给她下了药|所以她把我绑在地下室里。,如果你这样做，也许我们应该永远束缚你。,200,-1,0,
216,0,0,IsolationYukiOrgasm,她强迫我给她口交|然后堵住了我的嘴。,哈哈，这是一个逃避的严重动机|还是你想品尝那个恶作剧？,217,0,0,
216,0,0,IsolationYukiOrgasm,她想要一些控制，当我让她高潮时,哇，公平竞争。,200,1,1,
217,0,0,,我无法很快地把它吐出来,我并不感到惊讶。,200,0,0,
217,0,0,,我想逃跑后还是把嘴堵住,你一定是个非常听话的宠儿|才会那么喜欢你情妇的味道,200,0,-2,
218,0,0,,事实上|我还没有完全准备好。,大多数鸡都有喙，并不是大嘴巴。,200,-1,-1,
218,0,0,,来吧，把我紧紧的束缚住|（转身背着她）,（Amelia帮你脱下制服|把你的手腕拉到身后，开始把你绑起来）,500,1,1,AmeliaTies()
220,0,0,,她是否愿意谁在乎,这是一种令人讨厌的态度|对所有参与者来说都应该尊重,200,-1,0,
220,0,0,,那她在这里干什么？,她说她是和朋友一起来的|没给我一个准确的答复。,225,0,0,
220,0,0,,那她只想支配别人吗？,我不确定，她费了很大劲才帮我把双胞胎捆起来|但后来似乎很享受。,225,0,0,
225,0,0,,也许我可以说服她,你当然可以试试,200,1,0,
225,0,0,,也许她会喜欢|在我身上练习,我敢肯定，如果你这么去送的话|她肯定会很乐意的。,200,0,-1,
230,0,0,,不过，日式可以|更能暴露下身。,这是你的癖好吧|它还能确保双手无法接触,231,,,
230,0,0,,确实，并肘会强行|让乳房显得更突出,你可以这样说,233,,,
231,0,0,,嘿，Charlotte|你更喜欢哪一个。,我对此没有意见。,232,0,0,Charlotte()
231,0,0,,这阻止不了我拉|胯绳的行为,你一定很喜欢被捆起来。,200,1,-1,
231,0,0,,如果就这样放置着|对顺从者会更好,当然，但有时，就像这里的双胞胎一样|不适是必不可少的。,200,0,0,
231,0,0,HasLooseArmbinder,我有一个单手套|可以束缚手臂。,酷，你自己试过了吗？,235,0,0,
232,0,0,,你应该两者都试试|然后再决定。,不，我真的不需要对此发表意见|（你回到Amelia身边）,200,-1,1,Amelia()
232,0,0,,你会用什么方法对付我,如果Amelia把你绑起来，那么她可以决定|（你回到Amelia身边）,200,0,-1,Amelia()
233,0,0,,她们中有一个并肘|看起来很有意思,是的，肘部接触，然后让双手向前|她的乳房是她唯一能触摸的东西,234,1,0,
233,0,0,,有些女孩需要一些帮助|来调整她们的胸部线条,也许，我们中的一些人天生就比其他人更有天赋。,234,,,
