Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,你现在是我的奴隶了。,（当你带她穿过房间，把她锁在墙上的项圈里时，她试图逃跑，但徒劳无功）,10,0,1,CanLeave()
0,0,0,,我们要找点乐子。,（她哼了一声，绝望地试图反抗你。|你把项圈锁在她身上，确保你的乐趣）,10,-1,0,CanLeave()
0,0,0,,我是她来救你脱离他们的。,（当你拿走这里时，她平静了下来，但当你把项圈锁在她身上时，她又挣扎了）,10,0,0,CanLeave()
5,0,0,,你能帮帮我吗？,（她咯咯地笑着摇摇头）,5,0,0,HelpMe()
5,0,0,Common_PlayerGagged,（向她展示你的束缚）,（她咯咯地笑着摇摇头）,5,0,0,HelpMe()
9,0,0,,跟她谈谈。,,20,0,0,
9,0,0,,你真的会约束我吗？,好吧，不管你有多有用，你最好还是克制一下。（她在你身上使用了你的一些物品）,5,0,-1,RandomBondage()
9,0,0,Common_PlayerGagged,（把你的嘴拿掉）,,9,0,0,RemoveYourGag()
10,0,0,TwinGagged,（移开她的嘴）,（你把嘴拿掉，她立刻脱口而出）|请在Jenna回来之前把我从项圈里拿出来！,10,0,0,RemoveGag()
10,0,0,!TwinGagged,跟她谈谈。,来吧，你玩得很开心，在Jenna回来之前，你能找到一种方法来解开这些手铐吗。,20,0,0,LucyCheck()
10,0,0,Blinded,（摘下她的眼罩）,（你摘下眼罩。|她习惯了光线后眨了眨眼）,10,0,0,RemoveBlindfold()
10,0,0,,（和她一起玩）,（你抬头看着她，不知道该拿她怎么办）,200,0,0,
10,0,0,TwinRestrained,（解放她的双臂）,（一旦她的手臂自由了，她很快就会摆脱所有束缚）,10,0,0,AlmostFreed()
10,0,0,TiedLegs,（解开她的腿）,（你把绳子从她腿上取下来，|让她更容易站起来）,10,0,0,UntieLegs()
10,0,0,!SkirtRemoved,（脱下她的裙子）,（你拉下她的裙子，露出暴露的蕾丝内裤）,10,0,0,RemoveSkirt()
10,0,0,!UniformRemoved,（脱下她的制服）,（你不能在她的手臂被束缚的情况下脱掉她的制服）,10,0,0,RemoveUniform()
10,0,0,!TwinRestrained,（把她的手臂锁在神谕中）,（你强迫她的手臂在她身后，然后把它们锁在手铐里）,10,0,1,ManacleArms()
10,0,0,!Kneeling,（把她的腿锁在神谕中）,（你让她跪下，把腿锁在手铐里）,10,0,0,ManacleLegs()
10,0,0,Kneeling,（解放她的双腿）,（她的腿牢牢地锁在手铐里。|没有钥匙，你无法打开它们）,10,0,0,
15,0,0,,（不对称地绑住她）,（你设法把她绑起来了）|哇，你为什么要这样把我绑起来？,10,0,0,TieUp(1)
15,0,0,,（把她的胳膊肘绑在一起）,（你设法把她绑起来了）|哇，你为什么要这样把我绑起来？,10,0,0,TieUp(2)
15,0,0,,（把她的胳膊绑在身后）,（你设法把她捆起来了）|我想这比我早些时候被捆起来要好。,10,0,0,TieUp(3)
20,0,0,,（调整她的束缚）,（你抬头看着她，不知道该拿她怎么办）,10,0,0,
20,0,0,,（和她一起玩）,（你抬头看着她，不知道该拿她怎么办）,200,0,0,
20,0,0,,你能帮我克制一下吗？,这样我能做的不多。,20,0,0,RestrainMe()
20,0,0,Jenna,你和Jenna之间怎么了？,不是我，是Heather。她上周欺骗了Jenna，有传言说Jenna仍然有伤疤。,30,0,0,JennaDone()
20,0,0,Compliment,你看起来很可爱。,在一个满是女孩的房间里，这并不意味着什么|等等，你为什么那样看着我？,40,0,0,ComplimentDone()
20,0,0,YouEnjoyIt,你喜欢这个吗？,不，我加入这个俱乐部不是为了被束缚和堵塞。,50,0,0,YouEnjoyItDone()
20,0,0,Underwear,内衣不错，女孩们一定很喜欢你。,什么！不，我有男朋友了。,60,0,0,UnderwearDone()
20,0,0,Boyfriend,所以你男朋友被束缚了？,不是现在的那个，是以前的一个以艰难的方式教会了我很多Kinbaku。,70,0,0,BoyfriendDone()
20,0,0,TiedLegs,这种束缚很适合你。,你至少能解开我的腿吗|我几乎不能像这样熬夜。,20,0,0,BondageComplimentDone()
20,0,0,!TiedLegs,这种束缚很适合你。,不，不是的，这很尴尬|你能不能想个办法让我现在走？,20,0,0,BondageComplimentDone()
21,0,0,PlayerHasArmbinder,我需要帮忙处理这个单手套。,可以。（她拿起单手套，帮你把胳膊滑进去，然后牢牢地收紧）怎么样？,22,0,-1,PlayerArmbinder()
21,0,0,PlayerHasRope,你能把我捆起来吗？,可以。（你脱下制服，她开始把你绑起来）好了，又紧又漂亮。,22,0,-1,PlayerRope()
21,0,0,,你可以使用我的任何物品。,可以。（她挑选了你的一些物品|并用在你身上）这是怎么回事？,22,0,-1,RandomBondage()
21,0,0,,我只是在开玩笑。,你能不能别再胡闹了，帮我找到一种方法来解开这些该死的手铐。,20,-1,0,NoKidding()
22,0,0,,噢，太紧了。,对不起，但你确实问过。,5,0,-1,FurtherBondage()
22,0,0,,这太棒了。,我很高兴你喜欢它。,5,1,-1,FurtherBondage()
22,0,0,,太好了，你会成为一个好女佣的。,什么！你不会让我这样吧？,5,-1,1,FurtherBondage()
22,0,0,,（旋转）,（当你炫耀你的新束缚时，她咯咯地笑了起来）,5,0,0,FurtherBondage()
22,0,0,,（柯蒂斯）,也许你应该成为那个被锁在墙上的人，而不是我的玩物。,5,1,-1,FurtherBondage()
22,0,0,,你现在能放了我吗？,已经？你只被束缚了5秒|你最好再尝试一段时间。,5,0,-1,FurtherBondage()
22,0,0,Common_PlayerGagged,@Thhng nhh,不客气，我想。,5,1,0,FurtherBondage()
22,0,0,Common_PlayerGagged,@嗯，嗯，嗯？,已经？你只被束缚了5秒|你最好再尝试一段时间。,5,0,-1,FurtherBondage()
23,0,0,,（请安静等待）,（她拿起一个震动的跳蛋，把它插进你的阴道，然后给你系上贞操带）,24,0,0,EggAndBelt()
23,0,0,,等等，你觉得你在做什么？,（她拿起一个震动的跳蛋，把它插进你的阴道，然后给你系上贞操带）,24,-1,0,EggAndBelt()
23,0,0,Common_PlayerGagged,@为什么？,（她拿起一个震动的跳蛋，把它插进你的阴道，然后给你系上贞操带）,24,-1,0,EggAndBelt()
24,0,0,,你为什么那样做？,因为这是我现在唯一能做的事。,5,0,0,CanLeave()
24,0,0,Common_PlayerGagged,@为什么？,因为这是我现在唯一能做的事。,5,0,0,CanLeave()
24,0,0,,立即删除。,对不起，这不是那么容易做到的。,5,0,1,CanLeave()
24,0,0,Common_PlayerGagged,@嗯，嗯，嗯。,对不起，这不是那么容易做到的。,5,0,1,CanLeave()
24,0,0,,（柯蒂斯）,也许你应该成为那个被锁在墙上的人，而不是我的玩物。,5,1,-1,CanLeave()
24,0,0,,谢谢你，女主人。,我不是你的情妇。我相信还有其他人会把你当作他们的宠物。,5,0,-1,CanLeave()
24,0,0,Common_PlayerGagged,@谢谢。,我不是你的情妇。我相信还有其他人会把你当作他们的宠物。,5,0,-1,CanLeave()
24,0,0,,（离她远点）,,5,0,0,Leave()
30,0,0,,Heather做了什么？,我们不知道，但我认为Heather把Jenna和其他人绑在一起了。,31,0,0,
30,0,0,,我打赌Jenna活该。,也许 吧。Jenna可能很难相处，但即便如此，要和Heather捆绑在一起，而没有其他人。,31,0,1,
31,0,0,,所以Jenna会对你发火？,俱乐部的大多数人都分不清我们，|Jenna可能会认为我是Heather。,32,0,0,
31,0,0,,也许Jenna应该惩罚你。,但我是Lucy，是Heather对她做的。,32,-1,1,
31,0,0,,我可以告诉她|不是你。,这可能会有所帮助，但我认为她不会冒险。,32,1,0,
32,0,0,,也许你是Heather，你应得的。,不，请你相信我，我是Lucy。,33,-1,1,
32,0,0,,你能证明你是Lucy吗。,不容易，Heather很擅长模仿我。|她甚至穿着同样的内衣。,33,0,0,
32,0,0,,我们应该揭露Heather。,这并不容易，只有当你对此无能为力时，她才会暴露自己。,33,1,0,
33,0,0,,我去拿钥匙。,哦，谢谢你，请快点。,20,1,0,
33,0,0,,我会让Jenna决定你的命运。,不，请你帮我逃跑。,20,0,1,
33,0,0,,Jenna不会碰我的奴隶。,你不明白。除非你有钥匙，否则我被锁在这些手铐里，就成了Jenna的奴隶。,20,-1,1,
33,0,0,,我会让Heather认罪的。,那太好了。等等，你知道需要忏悔的是我妹妹，不是我吗？,20,1,1,
40,0,0,,来吧，你是一个陷阱。,好吧，我想我男朋友很喜欢我，但并不是真的被束缚了。,41,1,0,MentionedBoyfriend()
40,0,0,,你不能接受赞美吗？,如果这是一种恭维，那就不太讨人喜欢了，除非是我男朋友说的。,41,0,0,MentionedBoyfriend()
40,0,1,,不要向我否认你的感受。,什么，不，我所有的感情都是为了我的男朋友。,41,0,1,MentionedBoyfriend()
40,0,0,,没什么，|我……呃……只是。。。。,算了，有男朋友吧。,20,0,-1,MentionedBoyfriend()
41,0,0,,你对女孩没有感情吗？,不是那种感觉。,20,0,0,
41,0,0,,你现在对我无能为力。,也许没有帮助，但我不会分享你的任何感受。,20,-1,1,
41,0,0,,我想他更喜欢你闭嘴。,不，我们只是有一段正常的关系。,20,-1,0,
41,0,0,,他现在一定会喜欢你的。,我真的不知道。,20,1,1,
50,0,0,,那你为什么加入？,我碰巧对绳索技术有点了解，|所以Jenna扭着我的胳膊加入了进来。,51,0,0,
50,0,0,,那你喜欢把女孩绑起来吗？,不是真的，不是。Jenna说服我加入，|传授一些我知道的技巧。,51,0,0,
50,0,0,,如果你不留下，你就不会留下来。,不，不是那样的|我只是来帮助别人的技术。,51,0,1,
51,0,0,,你帮忙，让我们在你身上练习。,我本该告诉别人的，但我也不是模特。,20,0,1,
51,0,0,,你可以向我展示。,不是现在。即使我没有双手，|用这条短皮带拴着它也有点尴尬。,52,0,-1,
51,0,0,,你能教我一些新技术吗？,是的，如果你能把我从这些该死的手铐里救出来。,52,1,0,
52,0,0,,你可以这样演示。,不，拜托，如果你不能自由移动，用一些方法系起来真的很尴尬。,20,0,-1,
52,0,0,,如果我放了你，|你会教我的。,是的，任何东西，如果你现在能解开这些锁链。,20,0,1,
52,0,0,,那我最好放了你。,是的，那我会帮你的。,20,1,0,
60,0,0,,你穿着它们来到一所女子学院。,我男朋友在男女同校|我喜欢让他整天都把注意力集中在我身上。,20,0,0,
60,0,0,,我觉得你穿上它们看起来很迷人。,嗯，谢谢。不过，被这样曝光是相当尴尬的。,20,1,1,
60,0,0,,他一定很喜欢荡妇。,不，我不是荡妇。它们很性感，但只适合他的眼睛。,20,-1,1,
70,0,0,,你现在的男朋友把你绑起来了吗？,没有，但他让我不时地在他身上练习Kinbaku，如果我穿上可爱的衣服取笑他。,71,0,0,
70,0,0,,很多？你一定很喜欢。,不是真的。我为他做了这件事，但它失控了。,73,0,0,
71,0,0,,所以，你确实很享受。,好吧，也许有点，穿裤子是件好事，|即使我当时真的穿了一条裙子。,20,1,0,
71,0,0,,你可以穿着可爱的衣服取笑我。,你不是我的男朋友，|但我会把你绑起来堵住嘴，让你闭嘴。,20,0,-1,
73,0,0,,怎么搞的？,我不想谈论它。,74,0,0,
73,0,0,,你是不是太喜欢了？,不，虽然那样可能会更好|我不想谈论它。,74,-1,0,
74,0,0,,好吧，我不会让你说的。,谢谢，那么你能找到一种方法来解放我吗？,20,1,0,
74,0,0,,噢拜托。我让你把我捆起来。,没有，但我可能会绑住你，堵住你的嘴，只是为了阻止你纠缠我。,20,0,-1,CanTellMore()
74,0,0,,别让我取笑你。,请别说了，我真的不想和你谈这件事。,20,-1,-1,CanTellMore()
74,3,0,,没关系，你可以和朋友谈谈。,对不起，我们不是那么亲密的朋友，我真的不知道这会成为流言蜚语。,20,1,0,CanTellMore()
75,0,0,,我保证，|我不会告诉任何人的。,好吧。（她深吸一口气）|Heather假装对我调情。,76,0,0,
75,0,0,,我什么都不答应。,那么你也不需要知道任何事情。,20,0,0,
75,0,0,!TwinRestrained,我会粉红色的承诺。,（她嘲笑你，然后摇着小手指）|Heather假装和我调情。,76,1,-1,
75,0,0,,快点把脏东西扫掉。,算了。似乎每个人都只关心八卦。,20,-1,0,
76,0,0,,不，没有。|他怎么想？,他以为她就是我，我真的很乐意。|他剥光她的衣服，把她绑起来，开始脱衣服。,77,1,0,
76,0,0,,我以为双胞胎会习惯的。,是的，但他以为她就是我，真的很乐意。|他剥光她的衣服，把她绑起来，开始脱衣服。,77,0,0,
76,0,0,,你应该和他在一起。,你不可能一直和别人在一起|他剥光Heather的衣服，把她捆起来，开始脱衣服。,77,-1,0,
77,0,0,,她想和你男朋友做爱？,不，她只是在闲逛，但他用她自己的内裤堵住了她的嘴，无视她的尖叫。,78,0,0,
77,0,0,,那应该对她有利。,她可能很痛苦，但她不应该用自己的内裤和他无视真正的尖叫声来堵住嘴。,78,-1,1,
77,0,0,,他是怎么把她捆起来的？,他把她绑起来让她暴露，如果这很重要的话|然后，当她开始尖叫时，他哽咽了。,78,-1,0,
78,0,0,,哦，天哪，他强奸了你妹妹。,幸好没有|我听到了骚动，及时走了进来。,79,0,0,
78,0,0,,他也对你做了那件事吗？,我们可能尝试过一些古怪的《爱经》中的东西，但从来没有这样的东西。我走得很及时。,79,0,1,
78,0,0,,听起来很有趣。,也许如果这是你的事。这肯定不是Heather的。|我听到了骚动，及时走了进来。,79,-1,-1,
79,0,0,,所以你甩了他。,我也应该举报他的。Heather显然吓坏了，他觉得继续下去也没关系。,80,0,0,
79,0,0,,他知道你有个双胞胎吗？,对。我怀疑他甚至知道他也是Heather。。。我应该举报他的。,80,0,0,
79,0,0,,幸好你当时在场。,我想是的。他只是一笑置之，直到我威胁要告发他。我可能应该这么做。,80,1,0,
79,0,0,,你本可以加入她的。,这并不好笑。仔细想想，我走进去的时候，他又捡起了绳子。我本该告发他的。,80,-2,0,
80,0,0,,Heather现在还好吗？,Heather还是Heather，但至少她现在不会干涉我的男朋友了。,20,1,0,
80,0,0,,你没事吧？,是的，我现在是|我想Heather无意中把我从他手里救了出来。,20,1,0,
80,0,0,,天哪，这是炸药。,喂，你这头粗心的奶牛。告诉任何人这件事，我就割断你的喉咙。,20,-10,-1,
80,0,0,,我现在在这里|我们可以举报他。,非常感谢。不过我不确定，|我需要时间思考。,20,1,0,
100,0,0,,（调整她的束缚）,（你抬头看着她，不知道该拿她怎么办）,10,0,0,
100,0,0,,（和她一起玩）,（你抬头看着她，不知道该拿她怎么办）,200,0,0,
100,0,0,,你能帮我克制一下吗？,这样我能做的不多。,20,0,0,RestrainMe()
100,0,0,Jenna,你和Jenna之间怎么了？,这真的没什么。她以为我是Lucy，上周我只是要求在她身上尝试一种新的Kinbaku技巧。,110,0,0,
100,0,0,Compliment,你看起来很可爱。,我们应该看看你被锁在链子里有多可爱。,120,0,0,ComplimentDone()
100,0,0,YouEnjoyIt,你喜欢这个吗？,不可能，我不是那种需要用皮带拴住的宠物。,130,0,0,YouEnjoyItDone()
100,0,0,Underwear,内衣不错，女孩们一定很喜欢你。,什么，不，这只是模仿一个似乎对古怪男朋友情有独钟的妹妹的结果。,140,0,0,UnderwearDone()
100,0,0,TiedLegs,这种束缚很适合你。,你至少能解开我的腿吗|我几乎不能像这样熬夜。,100,0,0,BondageComplimentDone()
110,5,0,,那你做了什么？,正如我所要求的，首先|我试着给她戴一条中式领带。,111,0,0,JennaDone()
110,5,0,,令人惊叹的。她可能活该。,不管是否值得，她都明白了。我开始尝试给她戴一条中式领带。,111,1,0,JennaDone()
110,0,0,,这是什么，|你现在害怕了。,嘿，这只是个恶作剧，但Jenna对此太过在意了，她一定在计划什么。,110,-1,1,HeatherScared()
110,0,0,,你能告诉我更多吗？,不太可能，整个俱乐部都可以继续猜测细节。,110,0,0,
111,0,0,,听起来不多。,这足以阻止她逃跑，直到俱乐部里只剩下我们两个人。,112,0,0,
111,0,0,,那是什么方法？,我想Lucy称之为五朵花。这让Jenna感到无助，直到俱乐部里只剩下我们两个人。,112,0,0,
111,0,3,,来吧，看看那些有趣的细节。,好的，我去拿。我让她踮起脚尖，用一个悬吊的肛门钩子站了起来。,114,1,1,
111,0,0,,嗯，中国风格。。。,嘿，保持距离，我会为你做这一切|所以俱乐部里只剩下我们俩了。,112,0,-1,
112,0,0,,哦，然后呢？,我又加了几根绳子，堵住了她的嘴，然后给她看了肛门钩。,113,1,0,
112,0,0,,你能给我看看那项技术吗？,也许以后，我会把你绑起来堵住嘴，|然后也用同样的肛门钩钩住你。,113,0,-1,
112,0,0,,如果这就是全部，你就不会出汗了。,不，她不介意所有的绳子和恶作剧|她不太喜欢肛门钩。,113,0,1,
113,0,0,,哎哟，听起来很痛苦。,下次，我可以让你踮起脚尖来，消除你心中的任何疑虑。,114,0,-1,
113,0,0,,酷，你用钩子了吗？,是的，她没有选择。我把它吊起来，把她吊到脚尖上。,114,1,0,
113,0,0,,她可以用那个吗？,你是谁，她的妈妈？可能不会，但这并没有阻止我用它踮起她的脚。,114,-1,0,
114,0,0,,我现在也可以对你做同样的事。,嗯，今天我没有带它或任何其他工具，这可能是件好事。,115,0,1,
114,0,0,,你这样养她多久了？,也许一个小时。当你享受乳夹和修剪的乐趣时，时间会流逝。,115,0,0,
114,0,0,,她喜欢吗？,我听不清她的尖叫声。当乳头被夹住，一个伤口让她挣扎时，她尖叫了很多。,115,0,0,
114,0,0,,我本应该去那里看的。,看着她很有趣，但乳夹和裁剪都增添了乐趣。,115,1,0,
114,0,0,,我希望她能逃脱。,绳子和钩子不太可能让她保持在我想要的地方，用乳夹和作物来娱乐。,115,-1,0,
115,0,0,,你就这样离开她了吗？,很诱人，但我松开了绳子，让她离开了，而我则带着工具逃走了。,116,0,0,
115,0,0,,她是怎么摆脱的？,她做不到。我取回我的工具，包括钩子，松开绳子，把它放在腿上。,116,0,0,
115,0,0,,我希望你没有那样离开她。,你在乎什么|也许有一天我应该这样离开你。,116,-1,-1,
115,0,0,,我可以用一些奶嘴夹。,是的，仅仅因为Jenna脸上的表情，它们就值得买。但我不得不让她逃走。,116,1,0,
116,0,0,,我本来很想去那里的。,你也可以骗Jenna。强迫她把钥匙给你，把我从这些该死的东西里救出来。,100,1,0,
116,0,0,,你为什么那样对她？,此外，把她脸上那种自以为是的表情擦掉，为什么不呢？,100,0,0,
116,0,0,,现在是你的奴隶。,该死的这些锁，你能在她回来之前从她那里拿到钥匙吗？,100,0,1,
116,0,0,,那对Jenna来说是件愚蠢的事。,那又怎么样。你最好充分利用你能得到的为数不多的娱乐机会。,100,-1,0,
120,0,0,,不，你可爱多了。,我不会仅仅因为你不如我可爱就拒绝你的机会。,100,1,-1,
120,0,0,,男孩子们会那样爱你的。,不！你到底知道什么|请安静。,100,-2,1,
120,0,0,,态度很可爱，真可爱。,咬我一口。如果我没有被绑在墙上，你就不会这么沾沾自喜了。,100,-1,0,
130,0,0,,冷静点，我可以帮你。,把钥匙给Jenna，我会冷静下来的。,100,1,0,
130,0,0,,但你现在是我的宠物了。,在你的梦里。被这个枷锁束缚着，Jenna|无论如何都比你更有发言权。,100,-1,1,
130,0,0,,得了吧，你真是个令人信服的少女。,等待救援也不是我的事。,100,0,1,
140,0,0,,她穿着同样的内衣？,是的，但我怀疑她不会让你亲眼看看。,100,0,0,
140,0,0,,这是唯一的原因吗？,谁知道呢？她可能会穿这些衣服，只是为了看看我能走多远。,100,0,1,
