Tag,Content
ChangeComplete,我好了！（你睁开眼睛）|大家都准备好看戏了吗？
CheaterPunishment,不要找借口，你需要吸取教训！|（她把你脱到只剩内衣，把你绑起来）
DressWithBelt,（你帮她穿衣服，但她对你很生气）|好吧，但你最好在演出结束后解开贞操带。
RefuseBondage,（她看到你的项目并迅速将其推开。|你需要+2或更高的顺从度）
RefuseBelt,（你给她看贞操带，但她看起来很生气|很快就把它推开了）
PlayerRandomBondage,好吧。（Amanda在你的包里|随机挑选了一些物品，并约束了你）
UndressBeforeBondage,嗯，当然，为什么不呢。但你需要脱衣服。
NoBondageItem,（她检查了你的包）对不起，COMMON_PLAYERNAME。|你身上没有任何我可以利用的东西。
UntiePlayer,你绑起来很可爱，但我可以帮忙|（她解开结，放了你）
UnstrapPlayer,你穿那个单手套很可爱，但我会帮你的|（她解开带子和鞋带，松开你）
Collar,（你需要+20或更高的顺从度以及|一个特殊的仪式来给她戴上代表服从的项圈.）
Crop,（当她挣扎和哭泣时，你狠狠地鞭打她|她不喜欢这样）
Rope,（你把绳子绕在她的身上|而她试图掩饰自己的兴奋）
TwoRopes,（你拿起第二根绳子|把她的腿绑成跪姿）
Cuffs,（当你抓住她的手，把它们铐在背后时|她并没有反抗太多）
Armbinder,（她慢慢地转过身来，这样你就可以|把她的手臂塞进单手套中并系好）
BallGag,（她有点挣扎，但你还是把口塞绑在了她的头上）
TapeGag,（她有点挣扎，但你还是把胶带封住了她的嘴）
ClothGag,（她有点挣扎，但你还是把布条塞满了|她的嘴巴，然后系上）
CuffsKey,（她把手放好，这样你就可以很容易地解锁她）
VibratingEgg,（当她看到跳蛋时，她紧闭着双腿|但你还是把它塞了进去）
ChastityBelt,（她看到贞操带时很恐慌|但你还是把它紧紧地锁在她身上）
MasturbateBelt,（你试图帮她手淫，但失败了|带着贞操带你没法将手指伸进去）
Masturbate,（你以很好的速度帮她手淫，|但她保持沉默，挣扎着）
MasturbateGood,（你以很好的速度自慰，她无法掩饰自己的快乐呻吟）
MasturbateOrgasm,（她像树叶一样颤抖，在更衣室里就达到了高潮）
StripBeforeFun,你拿它干什么？|如果你不介意的话，我正在努力。
CostumeBlocksFun,没时间了。我已经穿上了盔甲。
TakeKey,像你这样的学生不应该有钥匙，我就拿走。|（她拿走了你的手铐钥匙）
UncuffAccept,你戴着这些手铐很可爱，但我可以帮忙。|（她拿起钥匙，打开你的手铐）
UncuffRefuse,不！（她把钥匙挂在你面前）|再挣扎一下，也许你会溜走的。
CannotFree,（她指着自己的束缚，叹了口气）
CannotFreeGagged,（她从左向右摇了摇头）
HelpWhileGagged,（她慢慢地帮你摆脱束缚，同时咯咯地笑着）
