Tag,Content
Chloe1,(Chloe je teď úplně svázaná a zavěšená nad zemí.|Tvůj osud nikoho nezajímá.)
Chloe2,"(Na Chloe připoutali několik vibrátorů. Chvěje se,|houpe se, a šťastně sténá do svého roubíku.)"
NatalieReturns,(Natálie přichází zpátky a postaví se nad tebe.)
Remote1,(Natálie se začíná třást.|Tvůj ovladač zřejmě musí ovládat její vibrátor.)
Remote2,(Natálie se chvěje ještě víc|a slabě sténá do svého roubíku.)
Remote3,"(Natálie se silně otřásá a sténa hlasitěji. Náhle tvůj|vibrátor prudce zrychlí, až leknutím upustíš ovladač.)"
Orgasm,"(Vybuchuješ v nádherném orgasmu.|Natálie tě podpírá, když se jí hroutíš do náručí.)"
JennaReturns,"(Jenna vás obchází a vyndává vám vibrátory.)|Čas vypršel, vy dvě."
OutOfTime,"(Uvědomíš si, že ti za chvíli začíná další hodina.|Pouštíš ji a ona se dává do pořádku.)"
SubbieMasturbate,"(Natáliiny doteky tě přivádějí k nádhernému orgasmu.|Jakmile odezní, Natálie tě osvobozuje.)"
NoMasturbate,(Odstrkuje tvé ruce pryč.|Měla bys ji „pevně svázat“.)
NatalieOrgasm1,"(Chvěje se ve sladkém orgasmu,|ale zdá se že ho potlačuje.)"
NatalieOrgasm2,(Neschopná se více ovládat|vybuchuje v úžasném orgasmu.)
Cuffs,"(Tohle je Kinbaku klub, na použití|kovových pout, zdá se, není ta pravá chvíle.)"
KissGagged,(Políbíš jí na roubík. Snaží se tvůj polibek|opětovat a tiše mňouká do roubíku.)
KissTied,(Vášnivě ji líbáš a ona tě něžně kousne|do rtu ve chvíli kdy skončíš a odtáhneš se.)
TickleTied,"(Prudce se zmítá a směje se. Je velmi lechtivá,|ale teď není v situaci, kdy by se ti mohla bránit.)"
SubbieNoItem,"(Odstrčí tvou ruku s předmětem.)|Už mám všechno, co potřebuji, abych tě udělala mou."
TogetherNoItem,"(Jenna odstrkuje tvou ruku s předmětem.)|Už mám všechno co potřebuju, abych vás dvě sblížila."
SecondRope,"(Přehneš ji přes nedalekou lavici a použiješ|další provazy, abys jí k lavici připoutala nohy a tělo.)"
FirstRope,"(Pevně ji poutáš tělo a paže,|což vede k jejímu tichému spokojenému sténání.)"
Blindfold,"(Na oči ji nasazuješ masku. Vypadá to, že ji to|znervózňuje, když neví, kde je její věznitel.)"
BallGag,"(Hravě se ti chvíli brání před tím,|než otevře ústa a kuličku do nich přijme.)"
ClothGag,"(Hravě se ti chvíli brání před tím,|než otevře ústa a vycpávku do nich přijme.)"
TapeGag,"(Hravě se ti chvíli brání, než ti nastaví zavřená|ústa, abys je mohla pevně přelepit páskou.)"
Crop,(Několikrát ji bičíkem švihneš.|Kvičí bolestí a vzdává se ti.)
VibratingEgg,"(Hodně se ti snaží bránit, ale tobě|se přesto podaří strčit ho do ní, což jí roztřese.)"
Collar,(Pro nasazení obojku Natálii potřebuješ|její submisi alespoň +20 a speciální obřad.)
LeaveBoundAndGagged,"(Opravdu ji chceš opustit spoutanou a s roubíkem?|Pokud ano, klikni ještě jednou.)"
