Tag,Content
RefuseBondageFromDamsel,（她看到了这个项目，但很快就把它拒之门外。作为少女，你需要+10的顺从度才能使用它）
RefuseBondageFromKnight,（她看到了物品，但很快就把它移开了。作为骑士，你需要+5的顺从度才能使用它）
Crop,（你狠狠地鞭打她，她却挑衅地盯着你，咯咯地笑了起来）
Rope,（你剥去她的衣服，把绳子绕在她的身上，她高兴得发抖）
TwoRopes,（你抓住她的腿，用第二根绳子绑住，迫使她跪下）
Armbinder,（你把她的胳膊伸进皮革单手套里，系上带子，系紧）
Cuffs,（她辞职了，把手放在背后，这样你就可以把手铐锁在她身上了）
BallGag,（她鞠躬并张开嘴，这样你就可以把球推进去并扣紧）
TapeGag,（她辞职了，把嘴唇封起来，这样你就可以用胶带把它们封住了）
ClothGag,（你慢慢地把药塞到她嘴里，把药包在她的头上）
CuffsKey,（你转动手铐上的钥匙，松开她）
VibratingEgg,（当你把跳蛋滑进她体内时，她好奇地看着它）
ChastityBelt,（当她看到贞操带时，她惊慌失措，但当你把它锁在她身上时，她辞职了）
Collar,（你需要+20的提交和一个特殊的仪式）
Orgasm,（她试图保持冷静，但很快就会被你触碰，并在舞台上达到高潮）
AcceptRelease,当然！我想我可以帮你。（她把你从束缚中解放出来）
MasturbateChaste,（你几乎不用把手指滑到贞操带下面|但贞操带太紧了，无法取悦她）
